state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	517.766	1136.566	517.766	2	2	15128.045	1.809	50.769	-101.15	-402.36	-6.19	-0.69
200	359.099	621.205	393.775	2	2	9552.045	1.486	51.100	-105.47	-379.16	-1.42	0.69
300	255.949	537.159	255.949	2	2	5965.533	1.855	51.100	-111.13	-362.90	1.99	-0.11
400	378.501	669.711	378.501	2	2	5064.260	2.571	56.589	-102.25	-365.70	-0.01	0.00
500	378.229	558.695	378.229	2	2	4769.770	3.519	56.402	-105.75	-364.26	-4.74	0.00
600	216.217	725.430	216.217	2	2	5179.438	3.519	58.190	-108.62	-358.68	4.71	-0.40
700	258.727	717.033	258.727	2	2	5179.672	3.641	57.842	-105.67	-363.28	0.00	0.00
800	265.908	612.768	265.908	2	2	3593.008	4.164	51.287	-104.32	-356.59	-0.01	0.00
900	254.557	737.868	254.557	2	2	3593.568	4.040	51.625	-104.61	-355.63	0.00	0.00
1000	194.819	521.427	194.819	2	2	3936.490	4.956	51.865	-107.65	-353.62	0.00	0.00
1100	229.654	827.977	229.654	2	2	2926.228	4.976	52.202	-106.30	-352.55	0.00	0.00
1200	338.885	1077.653	338.885	2	2	2925.954	6.032	52.077	-109.75	-357.78	-1.48	-0.69
1300	223.776	622.254	223.776	2	2	2925.341	5.282	51.578	-107.07	-352.00	0.00	0.00
1400	180.119	456.634	180.119	2	2	2925.055	4.438	51.901	-116.43	-349.78	0.00	0.00
1500	172.777	366.148	172.777	2	2	2925.055	8.071	51.901	-106.62	-350.40	0.00	0.00
1600	90.275	222.527	122.473	2	2	2925.834	9.870	34.097	-103.46	-346.68	0.00	0.00
1700	6.400	19.643	15.959	2	2	2925.705	9.841	22.475	-107.37	-341.77	0.00	-0.03
1800	9.970	32.267	32.267	2	2	2023.013	9.542	22.282	-108.99	-339.78	0.00	-0.69
1900	13.831	51.621	13.831	2	2	2047.034	9.136	21.547	-111.30	-339.34	0.00	0.00
2000	33.940	105.508	105.508	2	2	3080.550	9.193	26.382	-102.96	-346.21	-0.14	0.69
2100	26.721	102.197	102.197	2	2	2374.151	10.405	26.369	-104.33	-343.52	0.00	0.00
2200	51.763	196.639	115.862	2	2	1630.708	10.405	23.466	-105.68	-342.54	0.00	0.00
2300	47.874	228.395	104.102	2	2	2518.547	10.405	23.466	-102.70	-344.93	0.00	0.00
2400	20.002	95.759	95.759	2	2	2652.619	11.112	24.818	-104.71	-343.94	0.00	0.00
2500	16.574	80.875	21.610	2	2	2115.860	13.960	24.401	-106.59	-339.66	-2.55	0.00
2600	7.491	31.598	8.333	2	2	3194.397	14.766	24.723	-104.53	-342.30	0.01	0.00
2700	5.548	35.806	7.129	2	2	2707.847	16.070	24.668	-105.71	-340.74	0.00	0.00
2800	9.999	64.526	11.023	2	2	2960.349	21.748	24.415	-108.10	-341.70	0.01	0.00
2900	4.210	41.956	4.210	2	2	1632.315	21.817	24.415	-111.30	-337.40	0.03	0.69
3000	4.836	25.110	5.081	2	2	3037.674	21.017	29.604	-106.96	-341.67	0.78	0.69
3100	3.859	19.362	13.032	2	2	2690.866	20.524	29.524	-107.15	-340.90	-0.00	0.00
3200	4.332	22.012	8.229	2	2	2102.754	20.117	29.134	-108.04	-338.97	-0.00	0.00
3300	3.317	18.966	10.221	2	2	2421.028	13.451	29.354	-105.40	-339.98	0.08	-0.24
3400	2.423	8.283	8.283	2	2	1947.571	12.816	29.354	-106.85	-338.48	0.02	-0.69
3500	6.337	11.482	8.886	2	2	1947.571	18.099	29.440	-107.52	-338.53	0.01	-0.24
3600	1.904	10.570	10.570	2	2	1949.690	18.003	29.576	-107.47	-338.58	-0.03	0.69
3700	2.298	14.740	14.740	2	2	2069.308	19.071	29.179	-107.62	-339.13	-0.00	0.00
3800	2.610	6.784	6.784	2	2	3390.233	16.848	28.789	-104.58	-342.72	0.00	0.00
3900	1.776	4.942	4.942	2	2	3390.845	11.773	29.096	-104.58	-342.61	0.00	0.00
4000	0.117	1.455	1.455	2	2	3581.903	11.466	27.242	-104.47	-343.07	0.01	0.00
4100	0.375	0.753	0.753	2	2	2435.868	16.064	31.463	-105.79	-339.60	-0.01	0.69
4200	0.175	0.824	0.175	2	2	1254.636	15.173	31.487	-109.84	-336.04	0.00	-0.12
4300	0.078	0.787	0.787	2	2	1722.522	18.114	31.417	-108.11	-337.47	-0.01	0.00
4400	0.137	4.275	0.137	2	2	1722.401	15.567	32.758	-107.70	-337.48	0.00	0.00
4500	0.651	6.676	6.676	2	2	1743.122	21.129	33.217	-109.11	-337.78	0.01	-0.69
4600	0.010	4.809	4.809	2	2	1585.977	20.583	29.615	-109.66	-337.21	0.09	-0.41
4700	0.005	7.554	7.554	2	2	1586.259	16.319	29.561	-108.26	-337.27	0.00	0.00
4800	0.035	13.054	13.054	2	2	1586.286	16.285	29.097	-108.22	-337.50	0.00	0.00
4900	1.091	14.285	1.091	2	2	1585.392	16.110	29.130	-108.24	-337.26	0.00	0.00
5000	1.619	8.125	8.125	2	2	1884.753	13.369	29.148	-106.93	-338.24	0.01	-0.69
5100	1.560	8.041	8.041	2	2	1929.198	20.902	29.503	-108.77	-338.41	0.00	-0.49
5200	1.211	7.257	7.223	2	2	3037.633	21.661	29.864	-107.29	-341.70	0.00	0.00
5300	0.013	5.910	5.910	2	2	3037.855	22.158	26.495	-107.86	-341.56	-0.03	-0.69
5400	0.085	4.239	4.239	2	2	2082.375	17.450	16.350	-111.87	-338.70	0.00	0.00
5500	0.150	1.304	0.581	2	2	1789.560	17.057	16.350	-113.52	-337.66	0.01	-0.31
5600	0.400	0.992	0.400	2	2	1719.995	17.852	15.928	-114.32	-337.45	-0.00	0.00
5700	0.090	0.300	0.300	2	2	1721.193	17.737	15.928	-115.28	-337.44	0.00	0.00
5800	0.175	0.395	0.220	2	2	1532.711	17.737	16.441	-115.70	-336.87	-0.00	0.00
5900	0.076	1.075	0.076	2	2	1537.787	17.771	17.425	-115.56	-336.89	0.00	-0.15
6000	0.424	1.296	0.424	2	2	810.603	17.591	22.223	-118.40	-334.72	0.04	0.00
6100	0.201	0.837	0.768	2	2	1873.495	14.513	23.147	-108.52	-337.92	-0.01	0.00
6200	0.538	3.044	3.044	2	2	1873.975	13.823	23.230	-108.38	-338.02	-0.05	0.47
6300	0.539	4.802	4.802	2	2	1874.331	13.801	23.230	-108.31	-338.09	0.01	0.00
6400	1.139	3.275	3.275	2	2	2403.977	10.378	23.279	-108.58	-339.63	0.00	0.00
6500	0.647	2.363	1.658	2	2	2403.803	12.339	22.907	-107.06	-339.55	0.00	0.00
6600	0.130	1.170	1.170	2	2	3141.838	12.525	22.907	-105.42	-341.73	-0.00	0.00
6700	0.168	0.842	0.168	2	2	2066.656	12.414	22.297	-108.61	-338.48	0.00	0.00
6800	0.197	0.579	0.437	2	2	1931.314	12.867	22.864	-108.65	-338.08	0.00	-0.69
6900	0.015	1.424	1.327	2	2	2208.667	17.137	26.787	-106.84	-338.93	0.00	0.00
7000	0.529	1.311	1.311	2	2	2940.349	18.160	26.290	-105.92	-341.14	0.00	-0.69
7100	0.077	0.689	0.689	2	2	2939.975	17.664	25.509	-105.83	-341.11	0.00	0.00
7200	0.502	5.828	5.828	2	2	2802.556	17.228	25.509	-105.84	-340.88	0.00	0.00
7300	0.163	2.136	2.136	2	2	1370.008	13.711	25.310	-110.43	-336.45	0.00	-0.07
7400	0.316	3.943	3.943	2	2	1454.985	14.052	25.310	-109.71	-336.78	0.01	-0.69
7500	0.056	1.337	1.337	2	2	1253.595	14.163	25.849	-111.08	-336.08	0.00	0.00
7600	0.340	3.182	3.182	2	2	1253.474	13.362	25.849	-111.18	-336.13	0.00	0.00
7700	0.702	3.018	3.018	2	2	1253.482	12.705	36.250	-112.08	-336.13	0.04	-0.69
7800	0.618	2.513	2.513	2	2	1253.370	12.690	35.843	-111.92	-336.14	0.00	0.00
7900	0.708	2.391	2.391	2	2	1131.875	13.165	36.043	-112.34	-335.75	-0.00	0.00
8000	1.048	3.997	3.997	2	2	1038.689	15.159	36.043	-111.69	-335.56	0.01	-0.69
8100	1.460	7.863	7.863	2	2	1324.102	15.916	35.968	-109.73	-336.59	-0.12	0.42
8200	0.698	6.313	6.313	2	2	1347.477	14.335	33.310	-109.46	-336.53	0.00	0.00
8300	2.233	11.316	11.316	2	2	1533.141	14.682	30.694	-108.23	-337.26	0.01	0.00
8400	2.753	35.159	2.753	2	2	1532.911	10.814	31.020	-110.62	-337.29	-0.01	-0.69
8500	13.267	68.985	68.985	2	2	2355.074	11.312	34.384	-105.58	-341.68	0.00	0.00
8600	7.115	40.793	40.793	2	2	1907.324	11.353	34.384	-108.37	-339.33	0.00	0.00
8700	1.960	17.564	17.564	2	2	1907.307	11.353	34.818	-109.09	-338.68	0.01	0.00
8800	0.738	27.898	27.898	2	2	1907.307	11.371	26.618	-107.24	-339.11	0.00	0.00
8900	0.761	24.223	24.223	2	2	2296.546	16.952	26.876	-106.39	-340.04	-0.54	0.69
9000	0.346	28.173	28.173	2	2	1526.326	17.048	27.089	-108.83	-338.09	0.16	-0.69
9100	0.055	10.473	0.444	2	2	1526.481	13.458	26.906	-108.75	-336.99	0.00	0.00
9200	0.048	10.133	0.291	2	2	2236.132	13.063	27.291	-106.10	-339.08	0.00	-0.69
9300	0.073	11.202	11.202	2	2	1833.516	13.116	27.291	-107.22	-338.21	-0.15	0.00
9400	0.255	20.614	20.614	2	2	1833.464	13.026	27.213	-107.04	-338.67	0.00	0.00
9500	0.312	24.209	1.853	2	2	2557.865	14.651	26.874	-105.33	-340.13	0.00	0.00
9600	0.306	30.917	3.896	2	2	3012.867	15.162	26.467	-104.66	-341.51	0.00	0.00
9700	0.887	29.537	29.537	2	2	1081.650	15.575	26.467	-111.34	-336.81	0.41	-0.38
9800	0.210	4.810	4.810	2	2	1193.587	14.092	26.327	-111.28	-336.03	-0.01	0.08
9900	0.053	2.467	2.467	2	2	1259.137	16.653	26.327	-110.93	-336.15	-0.08	0.00
10000	0.023	1.798	0.734	2	2	2968.495	15.927	33.038	-105.26	-341.21	0.00	0.00
