state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	539.837	724.234	539.837	1	2	7011.255	1.512	47.022	-88.93	-365.22	0.00	-17.65
200	75.748	2066.328	128.121	4	2	7011.434	1.361	46.100	-88.53	-368.15	1.11	-0.39
300	27.886	746.642	35.461	2	2	3429.436	2.075	28.601	-90.43	-341.53	0.00	0.00
400	17.595	664.215	17.595	1	2	2706.109	2.075	32.075	-93.12	-336.81	0.00	-2.35
500	6.849	405.159	6.849	2	2	3202.484	3.053	32.259	-90.49	-336.38	0.00	-3.24
600	22.032	706.024	22.032	2	2	3566.865	3.676	32.265	-86.66	-341.00	0.00	0.00
700	8.161	604.029	8.161	4	2	2219.520	3.241	22.119	-89.22	-337.30	0.00	-0.04
800	3.512	217.662	120.313	3	2	2219.396	3.680	22.119	-96.64	-334.54	-1.07	-0.69
900	4.278	749.519	64.261	4	2	1683.340	3.977	22.728	-90.92	-335.91	0.00	0.00
1000	6.482	405.444	97.639	4	2	2895.041	3.678	21.889	-93.95	-336.87	0.00	0.00
1100	9.472	442.652	88.704	7	2	4329.016	3.742	22.040	-87.55	-351.70	0.00	0.00
1200	7.331	402.224	76.389	3	2	4328.632	3.900	42.136	-89.41	-342.71	0.00	0.00
1300	5.258	970.278	5.258	5	2	4684.189	3.900	42.136	-85.00	-354.73	0.00	0.00
1400	18.766	514.141	18.766	5	2	4684.217	4.057	48.200	-88.30	-347.89	-3.99	0.25
1500	20.578	514.973	165.278	4	2	3860.728	3.645	48.244	-92.96	-345.37	0.00	0.00
1600	10.352	468.846	130.337	6	2	2616.517	3.599	48.068	-99.16	-343.87	0.00	-3.24
1700	5.764	366.306	5.764	5	2	2615.968	3.719	47.923	-93.79	-339.01	0.00	0.00
1800	7.804	777.703	7.804	5	2	1826.676	4.467	47.667	-89.56	-344.18	-0.00	0.00
1900	8.641	468.330	8.641	5	2	1826.523	2.917	47.851	-91.58	-339.20	0.00	-3.65
2000	45.693	679.075	193.391	4	2	1827.307	2.345	47.562	-91.39	-339.75	0.00	0.00
2100	39.219	991.496	140.820	4	2	1827.120	2.345	47.600	-90.86	-340.43	-4.77	0.00
2200	4.011	490.631	79.880	4	2	2372.588	3.070	39.430	-89.66	-338.62	0.00	-1.49
2300	3.090	415.145	19.388	4	2	3283.911	2.548	39.797	-92.60	-340.35	0.00	-5.76
2400	4.936	663.709	55.476	3	2	2986.539	2.377	39.842	-91.29	-340.68	-0.01	0.00
2500	4.843	365.324	234.872	3	2	1885.262	4.555	38.883	-103.16	-336.36	0.26	0.69
2600	0.977	616.608	0.977	4	2	2086.283	4.265	38.408	-90.63	-337.72	-0.00	0.00
2700	1.606	705.423	1.606	4	2	2072.597	4.409	33.053	-89.98	-338.76	0.00	-4.62
2800	0.825	390.162	0.825	5	2	2072.517	4.409	33.053	-94.31	-336.23	-0.00	0.00
2900	22.580	277.262	22.580	2	2	1811.793	4.021	31.789	-96.83	-330.59	0.51	-0.69
3000	23.744	1385.828	23.744	4	2	2895.735	3.445	32.577	-89.06	-339.10	-1.18	0.13
3100	6.342	1421.240	22.998	5	2	2740.358	3.103	32.017	-87.24	-341.64	0.00	0.00
3200	6.315	1434.827	122.610	5	2	2740.263	2.914	32.017	-94.47	-342.13	0.00	0.00
3300	64.255	3170.624	203.144	6	2	1740.151	2.788	32.017	-91.35	-348.66	0.00	-3.67
3400	40.251	3170.624	229.393	9	2	1740.286	3.612	32.017	-91.08	-354.54	-14.23	-0.69
3500	21.683	600.783	81.332	6	2	1414.477	2.446	32.697	-96.49	-341.81	0.00	0.00
3600	39.223	864.052	116.973	6	2	1912.307	1.864	32.697	-91.83	-347.62	0.00	0.00
3700	74.311	598.445	265.468	4	2	1544.844	1.285	32.294	-93.23	-341.50	0.00	-0.08
3800	335.796	1948.775	415.378	2	2	2045.126	0.927	25.508	-93.37	-346.12	-4.31	0.00
3900	294.090	646.568	316.903	4	2	2044.866	0.927	25.285	-91.81	-348.82	0.00	0.00
4000	222.540	736.308	334.836	6	2	2045.812	0.927	36.762	-96.47	-351.10	2.94	0.00
4100	98.706	829.888	261.721	6	2	1163.229	1.032	36.762	-99.28	-344.16	0.00	-4.22
4200	83.789	835.417	262.984	7	2	2098.831	1.110	36.257	-92.60	-347.25	0.00	-2.50
4300	24.954	1042.703	171.438	8	2	1793.301	1.317	36.257	-97.64	-345.91	0.00	0.00
4400	36.955	1538.676	94.958	8	2	1983.615	1.316	35.957	-96.43	-348.25	0.00	0.00
4500	107.153	880.815	107.153	4	2	1668.645	2.481	37.013	-94.79	-337.05	0.00	0.00
4600	109.336	910.233	109.336	6	2	2815.995	3.267	36.688	-92.40	-343.75	-2.56	0.36
