generation	Posterior	Prior	logLk	sigmasq	root
0	-160.4874	0	-160.4874	1130.275	36.58926
1000	-161.8437	0	-161.8437	818.9159	36.65063
2000	-160.4046	0	-160.4046	1175.762	36.66942
3000	-160.4935	0	-160.4935	1271.163	36.58392
4000	-160.3342	0	-160.3342	1130.324	37.02508
5000	-160.4975	0	-160.4975	1240.06	37.81097
6000	-160.4458	0	-160.4458	1244.795	37.91949
7000	-160.4762	0	-160.4762	1187.803	37.81685
8000	-160.4948	0	-160.4948	1224.157	37.70709
9000	-160.4523	0	-160.4523	1255.503	38.26769
10000	-162.1511	0	-162.1511	788.7213	38.5674
