Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-14428.1	-14433.7	5.51128	0.1340699	0.0244776	0.163208	0.192475	0.0160926	0.270703	0.0412719	0.1609	0.0786573	0.0835674	0.0447027	0.0450558	0.0615824	0.0546994	0.018416	0.115593	0.157413	0.584938	0.0947119	0.0178116	0.0235026	0.0629515	0.0471302	0.0721131	0.249298	0.0248625	0.0588633	0.0461829	0.0314311	0.0802492	0.0484991	0.01551	0.29755	0.0157596	0.0309449	0.20442	0.0275639	0.0106855	0.019418	0.052715	0.211373	0.196336	0.0903989	0.0417183	0.161231	0.0246092	0.0352112	0.0179573	0.173354	0.0108585	0.122275	0.045962	0.0938416	0.127001	0.010247	0.128624	0.051447	0.363251	0.014035	0.0158573	0.164378	0.0631016	0.138106	0.0495003	0.0103283	0.00729798	0.186307	0.072788	0.0654628	0.072815	0.0586925	0.0286116	0.0229865	0.0931908	0.0298784	0.113004	0.0127828	0.0200837	0.156103	0.0684485	0.0793348	1.07676	0.0359032	0.0392483	0.0517066	0.0596548	0.0552326	0.014609	0.0199645	0.00719064	0.0436414	0.0835495	0.0140967	0.0204901	0.0840683	0.0227097	0.0269725	0.00692482	0.311031	0.0136009	0.0225344	0.0823672	0.0365719	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.09042687	0.272742	0.2559	0.266745	0.204613	1.999835	0.6841468	0.1089889	-2.879938	1.151893	1.326857
10	-14473.4	-14456	-17.4587	0.1340699	0.00300994	0.190545	0.160664	0.0187698	0.316045	0.16664	0.174396	0.0918321	0.0974743	0.0521902	0.0526024	0.0800361	0.0638612	0.0215005	0.254628	0.183779	0.682912	0.110576	0.020795	0.0278631	0.0734955	0.0550243	0.0841917	0.291054	0.015393	0.0687133	0.0539183	0.0366956	0.00765159	0.041436	0.0181079	0.347389	0.0114445	0.0361281	0.238659	0.0321808	0.0676571	0.0388136	0.0615446	0.246777	0.229221	0.105625	0.0487059	0.188236	0.0287405	0.0128975	0.0209651	0.20239	0.0126772	0.142756	0.0536605	0.109587	0.148273	0.0119633	0.150168	0.0600641	0.431225	0.0163647	0.0185133	0.191911	0.0706732	0.161239	0.0577914	0.0120582	0.0126565	0.217513	0.0847749	0.0712603	0.0850112	0.047932	0.0191547	0.00912114	0.1088	0.0376215	0.131931	0.136409	0.0234476	0.18225	0.0799134	0.0920328	1.25152	0.0419168	0.046135	0.0576745	0.0356084	0.0644838	0.017056	0.0234246	0.00820838	0.0456428	0.0975441	0.0164578	0.0239221	0.100499	0.0265135	0.271091	0.0091147	0.363128	0.0862126	0.0644243	0.0576126	0.021509	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.1093296	0.272742	0.2559	0.266745	0.204613	1.999139	0.6841468	0.09713575	-2.962671	1.123411	1.262051
20	-14480.5	-14454	-26.5113	0.1340699	0.00322861	0.21006	0.177118	0.0207062	0.348413	0.17779	0.15799	0.101237	0.110215	0.0575353	0.0579903	0.0679068	0.0704017	0.0237026	0.280706	0.202601	0.752854	0.121901	0.0229248	0.0306254	0.0810227	0.0606597	0.0928143	0.320863	0.0774718	0.0768933	0.0594404	0.0404539	0.00746056	0.0256641	0.0199625	0.382967	0.0195531	0.0398282	0.263102	0.0354766	0.0267534	0.0101575	0.0678478	0.272051	0.252697	0.116594	0.0536946	0.207515	0.0316741	0.0142184	0.0231122	0.223118	0.0139756	0.157377	0.0591562	0.120576	0.163458	0.0131886	0.165548	0.0662157	0.999395	0.0180038	0.0204094	0.211566	0.0572576	0.177752	0.0637104	0.0132932	0.0339894	0.23979	0.0904271	0.0739122	0.0937177	0.0883302	0.0144753	0.0218279	0.119943	0.0390631	0.145443	0.0807105	0.025849	0.200915	0.182745	0.0277643	1.59555	0.0462098	0.0531631	0.0616403	0.07955	0.071088	0.0188028	0.0257252	0.00967878	0.0541638	0.107534	0.0903664	0.0263721	0.109573	0.0292289	0.0794091	0.00836191	0.400318	0.0411532	0.0779662	0.0575681	0.0180211	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.1251	0.272742	0.2559	0.266745	0.204613	2.001143	0.6841468	0.1213595	-2.74706	1.129656	1.276124
30	-14476.5	-14446.9	-29.6805	0.1340699	0.0138203	0.205411	0.173199	0.020321	0.340703	0.199763	0.224267	0.0989971	0.0997857	0.0562622	0.0567071	0.0743061	0.0688439	0.0231781	0.274495	0.198117	0.736195	0.119203	0.0224175	0.030456	0.0792298	0.0593174	0.0907605	0.313763	0.0992326	0.076256	0.0581251	0.0395587	0.0242681	0.0572107	0.0195207	0.374493	0.0241947	0.0389469	0.25728	0.0346916	0.151948	0.0418839	0.0663464	0.266031	0.247105	0.114493	0.0525062	0.202923	0.0309976	0.0139037	0.0226008	0.218181	0.0136663	0.153894	0.0578474	0.117977	0.159841	0.0128967	0.161885	0.0647505	1.58531	0.0176362	0.175946	0.206884	0.0907101	0.173819	0.0623009	0.012999	0.0176169	0.234484	0.0923836	0.0234217	0.091644	0.0421542	0.0206997	0.019206	0.117289	0.0456042	0.142225	0.126555	0.025277	0.19647	0.178701	0.159568	1.51448	0.0451873	0.0484521	0.0498861	0.167605	0.069515	0.0183867	0.0250837	0.00928923	0.0426799	0.105155	0.0883668	0.0257886	0.10556	0.0285821	0.0640042	0.0161357	0.39146	0.0379881	0.0481337	0.0521808	0.0224395	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.134218	0.272742	0.2559	0.266745	0.204613	1.999777	0.6841468	0.1256811	-2.565927	0.9918867	0.9838393
40	-14436	-14433.4	-2.66337	0.1340699	0.0165597	0.147576	0.124433	0.0146194	0.244775	0.142935	0.168977	0.0711235	0.0727006	0.040421	0.0407407	0.0480324	0.0494602	0.0140637	0.197208	0.142336	0.528912	0.0856403	0.0161056	0.0218146	0.0383235	0.0354764	0.016058	0.22542	0.0672941	0.0544998	0.0417595	0.0284206	0.00306918	0.0148928	0.0140245	0.269051	0.014885	0.027981	0.18484	0.0465408	0.0898856	0.0341573	0.047666	0.191127	0.177531	0.0726059	0.0377226	0.145788	0.0222732	0.00998901	0.0162373	0.15675	0.00981844	0.110564	0.04156	0.0846844	0.114836	0.00926553	0.116305	0.0465194	1.18875	0.0126625	0.126346	0.148634	0.0711398	0.124878	0.0447595	0.00933903	0.0109506	0.168463	0.0621655	0.00739499	0.0658407	0.0308185	0.0189177	0.0202364	0.0842649	0.0229538	0.10218	0.0385367	0.0181601	0.141152	0.128386	0.114454	1.10585	0.0324644	0.0343053	0.0635067	0.187881	0.0499424	0.0132098	0.0180773	0.0061003	0.0320182	0.0755474	0.0634863	0.0185275	0.0752862	0.0205345	0.109719	0.0507366	0.281241	0.138907	0.067727	0.0548033	0.030205	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.09899719	0.272742	0.2559	0.266745	0.204613	1.999723	0.6841468	0.1225195	-2.736389	1.128631	1.273807
50	-14451.9	-14440.3	-11.5744	0.1340699	0.0392897	0.170753	0.143976	0.0515837	0.283217	0.165383	0.195515	0.0822935	0.0841183	0.0467692	0.0471391	0.055576	0.057228	0.0162724	0.22818	0.164689	0.611978	0.0990902	0.018635	0.0252406	0.0443423	0.041048	0.01858	0.260823	0.0298886	0.0630591	0.0483178	0.0328841	0.0332429	0.024539	0.016227	0.311306	0.0326789	0.0323754	0.213869	0.0538501	0.030929	0.0138036	0.0551519	0.0349341	0.205412	0.0840088	0.043647	0.168684	0.0257806	0.0115578	0.0187874	0.181368	0.0113604	0.127928	0.0480872	0.097892	0.125311	0.0107207	0.13457	0.0538253	1.27552	0.0527443	0.146178	0.27352	0.0804588	0.144491	0.0517891	0.0108057	0.0193695	0.19492	0.0732149	0.0451105	0.0761811	0.0356586	0.0575346	0.0572185	0.0974988	0.0263001	0.118227	0.00600031	0.0210121	0.16332	0.148549	0.129344	1.27952	0.0375629	0.039693	0.0444785	0.15408	0.0577859	0.0152844	0.0208165	0.00705836	0.0370467	0.0874122	0.0734568	0.0214373	0.0871099	0.0237595	0.0426993	0.0587049	0.32541	0.00418494	0.0381887	0.0748526	0.0195039	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.1096345	0.272742	0.2559	0.266745	0.204613	1.997599	0.6841468	0.09753312	-2.882862	1.053849	1.110598
60	-14421.2	-14422.6	1.37941	0.1340699	0.0161599	0.145502	0.122685	0.0439567	0.241336	0.140926	0.166603	0.0701242	0.0716792	0.0398531	0.0401683	0.0473576	0.0487653	0.0138661	0.194437	0.140336	0.521481	0.0844371	0.0158794	0.0215081	0.0377851	0.034978	0.0158324	0.222253	0.075285	0.0537341	0.0411727	0.0280213	0.0360716	0.320404	0.0138274	0.265271	0.027521	0.0275879	0.182243	0.0458869	0.0275819	0.0206484	0.0469962	0.0297682	0.175036	0.0715858	0.0371926	0.14374	0.0219687	0.00984866	0.0160092	0.123659	0.00968049	0.10901	0.0409763	0.0833978	0.10678	0.00913535	0.11467	0.0458658	0.896501	0.0448785	0.124568	0.233073	0.0574394	0.123124	0.0441308	0.00920782	0.00956184	0.166096	0.0620508	0.0109215	0.0649157	0.179489	0.030464	0.00995644	0.083081	0.0335393	0.100744	0.0430864	0.0179049	0.139168	0.126582	0.11008	1.09031	0.0320082	0.0338233	0.0304336	0.0857439	0.0492407	0.0130242	0.0177234	0.00601459	0.0315683	0.074486	0.0625943	0.0182672	0.0742284	0.020246	0.283354	0.0500238	0.277289	0.033015	0.0487779	0.0336725	0.0216912	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.09771165	0.272742	0.2559	0.266745	0.204613	2.000578	0.6841468	0.09483957	-2.915114	1.057871	1.119092
70	-14404.2	-14411.5	7.35179	0.1340699	0.0198665	0.171542	0.104204	0.037417	0.204981	0.119697	0.141506	0.0595608	0.0608815	0.0338497	0.0341174	0.0402237	0.0414193	0.0117773	0.165147	0.119196	0.442926	0.0717176	0.0134873	0.0182681	0.0320932	0.0297089	0.0134474	0.188773	0.202893	0.0456397	0.0349705	0.0238002	0.0306378	0.0228929	0.0117445	0.225311	0.0233753	0.0234321	0.15479	0.0389745	0.023427	0.0175379	0.0399168	0.0252839	0.148669	0.0608022	0.0315899	0.122087	0.0186542	0.00836507	0.0135976	0.105031	0.00822223	0.0925892	0.0348039	0.0707733	0.0906948	0.00775921	0.0973966	0.0389566	1.05736	0.0381736	0.105847	0.197963	0.0652913	0.053838	0.0374831	0.00782076	0.00801885	0.141075	0.0537069	0.201809	0.0551368	0.152451	0.0258724	0.588601	0.0705657	0.0212485	0.0855683	0.0351605	0.0152077	0.118204	0.107514	0.0954531	0.926067	0.0271866	0.0287282	0.0472559	0.106529	0.0418231	0.0110622	0.0150747	0.00510856	0.0268129	0.0632655	0.0531651	0.0200007	0.0630467	0.0171962	0.129753	0.0424882	0.235519	0.0280417	0.0486526	0.0521239	0.0300329	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.09243854	0.272742	0.2559	0.266745	0.204613	1.999078	0.6841468	0.1092326	-2.860876	1.13719	1.293201
80	-14385.2	-14412.4	27.2058	0.1340699	0.0107892	0.135821	0.0825051	0.029621	0.162297	0.0947724	0.113879	0.0233746	0.0481963	0.026801	0.027013	0.0318478	0.0327944	0.00932488	0.130758	0.0943752	0.350694	0.0567836	0.0106788	0.0144349	0.0891672	0.0235225	0.0106472	0.149464	0.160644	0.0361359	0.0276885	0.0188442	0.024258	0.0218435	0.00929889	0.178393	0.0185078	0.0185527	0.122558	0.0308587	0.0185487	0.013886	0.0316048	0.00738345	0.117711	0.0481411	0.0250118	0.0966642	0.0147696	0.00662318	0.0107661	0.0831602	0.00651008	0.073309	0.0275564	0.0560207	0.0718092	0.00614348	0.0771153	0.0308445	1.41435	0.0729289	0.0838581	0.15674	0.115984	0.0426271	0.0296778	0.00619222	0.00634905	0.111699	0.042012	0.159785	0.0436555	0.120706	0.0232172	0.466035	0.0558716	0.0259595	0.0677501	0.0170703	0.012041	0.0935902	0.0851259	0.0760186	0.743892	0.0215254	0.022746	0.0514845	0.0596657	0.0331141	0.0087587	0.0119307	0.00417128	0.0212295	0.0500915	0.0420944	0.0158359	0.0499183	0.0136154	0.0592167	0.0228624	0.186476	0.0222024	0.0290845	0.0807124	0.0770918	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.0804675	0.272742	0.2559	0.266745	0.204613	2.00017	0.6841468	0.06904685	-3.207509	1.033962	1.069077
90	-14380.1	-14402.4	22.2827	0.1340699	0.00567988	0.139297	0.0846166	0.0303791	0.166451	0.0830652	0.123823	0.0239728	0.0479499	0.0274869	0.0277044	0.0317326	0.0336337	0.00956353	0.134105	0.0967905	0.359669	0.0582368	0.0109521	0.015144	0.0914492	0.0241245	0.0109197	0.153289	0.164755	0.0376656	0.0283971	0.0193265	0.0248788	0.0398148	0.00953687	0.182959	0.0189814	0.0190275	0.125694	0.0316485	0.0190234	0.0142413	0.00333748	0.00757242	0.120724	0.0494565	0.0192278	0.115126	0.0151476	0.00679269	0.0110416	0.0852885	0.00446412	0.0751852	0.0282616	0.0574544	0.0736469	0.00630071	0.0790889	0.0316339	2.05703	0.0747953	0.0861407	0.160752	0.0986475	0.0437181	0.0304374	0.00635233	0.00651154	0.114557	0.0420565	0.163875	0.0447727	0.0209576	0.0203655	0.477962	0.0573015	0.0324083	0.069484	0.028427	0.0123491	0.0267648	0.0873046	0.0778742	0.731461	0.0220763	0.0227936	0.0512111	0.0869281	0.0339616	0.00898286	0.0122361	0.0044487	0.0240746	0.0513735	0.0431717	0.0162412	0.0502283	0.0139638	0.20538	0.00866613	0.191248	0.0227707	0.02704	0.201352	0.0355549	0.09172348	0.3158532	0.0423464	0.0842496	0.166212	0.130916	0.0903402	0.37615	0.152133	0.08844847	0.272742	0.2559	0.266745	0.204613	2.000577	0.6841468	0.08093732	-3.148554	1.126475	1.268947
