Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	branch_rates[127]	branch_rates[128]	branch_rates[129]	branch_rates[130]	branch_rates[131]	branch_rates[132]	branch_rates[133]	branch_rates[134]	branch_rates[135]	branch_rates[136]	branch_rates[137]	branch_rates[138]	branch_rates[139]	branch_rates[140]	branch_rates[141]	branch_rates[142]	branch_rates[143]	branch_rates[144]	branch_rates[145]	branch_rates[146]	branch_rates[147]	branch_rates[148]	branch_rates[149]	branch_rates[150]	branch_rates[151]	branch_rates[152]	branch_rates[153]	branch_rates[154]	branch_rates[155]	branch_rates[156]	branch_rates[157]	branch_rates[158]	branch_rates[159]	branch_rates[160]	branch_rates[161]	branch_rates[162]	branch_rates[163]	branch_rates[164]	branch_rates[165]	branch_rates[166]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-17026.4	-16838.2	-188.173	0.2002742	0.0445158	0.0815032	0.228776	0.0126113	0.206036	0.299566	0.0595893	0.367108	1.36985	0.164222	0.383806	0.122396	0.310019	0.0496533	0.148816	0.0502562	0.438129	0.646389	0.0122006	0.0183162	0.0106531	0.00630357	0.0392246	0.00948041	0.132459	0.215204	0.121765	0.0332957	0.0328145	0.535344	0.00174692	0.122195	0.448351	0.196167	0.0701329	0.00172516	0.798197	0.0336412	0.0761696	0.516665	0.00576312	0.0787376	0.0239773	0.0584099	3.66391	0.0996988	0.0357276	0.0932889	0.216469	0.03056	0.146912	0.10004	0.00454749	0.144635	0.0064989	0.317449	0.0930255	0.0656389	0.0504877	0.00907827	0.0904895	0.00988341	0.609462	0.0076853	0.268451	0.0144607	0.088108	0.0708383	0.009118	0.0290735	0.00906756	0.12855	0.030539	0.0938194	0.000310235	0.213146	3.32953	0.0336375	0.0151844	0.172778	0.563569	0.00595888	0.214728	0.0101855	0.55293	0.0952153	0.223069	0.983746	0.0135105	0.101252	0.00742773	0.0803676	0.134265	0.106329	0.0679135	3.28796	0.017053	0.00204581	0.0578763	0.215644	0.0490107	0.106528	0.803911	0.190627	0.0176816	0.00506273	1.43735	0.00994425	0.426627	0.94203	0.972204	0.0117043	0.252526	0.135573	0.00633337	0.661329	0.193119	0.0054235	5.17454	0.0501827	0.666444	0.0138688	0.0115499	0.723845	0.389196	3.16959	0.0188909	0.0969315	0.127554	0.0866497	0.0595098	0.0554572	0.140384	0.0570442	0.454971	0.0798004	0.187166	0.0144849	0.0648575	0.0476732	0.514418	0.0465505	0.167127	0.102085	0.0338802	0.0101598	1.04899	0.682124	0.0114009	0.0173912	0.0413554	0.014745	0.326891	0.0348617	0.419673	0.10544	0.134855	0.390495	0.125936	0.0201521	0.0304821	0.00921576	0.213975	0.0739122	0.0190073	0.0557363	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.2903239	0.240502	0.221357	0.269854	0.268287	1.999555	0.6648405	0.3725327	-2.39606	1.678469	2.817259
10	-17017.2	-16839.8	-177.433	0.2002742	0.0568859	0.0780886	0.219191	0.0120829	0.197405	0.287016	0.0570928	0.351728	1.31246	0.157342	0.367727	0.117269	0.297031	0.0475731	0.358422	0.0481507	0.419774	0.619309	0.0116895	0.0175489	0.0102068	0.00603948	0.0375813	0.00908324	0.12691	0.206188	0.116664	0.0319008	0.0314397	0.512916	0.00167374	0.117075	0.429567	0.187949	0.0671947	0.00165289	0.764757	0.0322318	0.0729785	0.49502	0.00552168	0.075439	0.0229727	0.0559628	3.51041	0.095522	0.0342308	0.0893806	0.2074	0.0292797	0.140758	0.095849	0.00435698	0.138576	0.00622664	0.304149	0.0891282	0.062889	0.0483726	0.00869794	0.0866985	0.00946935	0.583929	0.00736333	0.257205	0.0138549	0.0844168	0.0678705	0.008736	0.0278555	0.00868768	0.123165	0.0292596	0.0898888	0.000297238	0.204216	3.19004	0.0322283	0.0145483	0.16554	0.539958	0.00570923	0.205732	0.00975875	0.529765	0.0912263	0.213723	0.942533	0.0129445	0.0970101	0.00711655	0.0770006	0.12864	0.101875	0.0650683	0.11761	0.0163386	0.00196011	0.0554516	0.20661	0.0469574	0.102065	0.770232	0.182641	0.0169408	0.00485063	1.37713	0.00952765	0.408754	0.902564	0.931474	0.0112139	0.241946	0.129893	0.00606803	0.633623	0.185029	0.00519628	4.95775	0.0480804	0.638524	0.0132878	0.011066	0.69352	0.372891	3.0368	0.0180995	0.0928706	0.12221	0.0830196	0.0570166	0.0531338	0.134503	0.0546544	0.43591	0.0764573	0.179325	0.0138781	0.0621403	0.0456759	0.492867	0.0446003	0.160126	0.0978082	0.0324609	0.00973417	1.00505	0.653547	0.0109233	0.0166626	0.0396228	0.0141285	0.317268	0.0334013	0.402091	0.101023	0.129205	0.374249	0.12066	0.0166789	0.0284382	0.00882967	0.209815	0.0737409	0.0196872	0.0241185	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.2611621	0.240502	0.221357	0.269854	0.268287	2.000967	0.6648405	0.224639	-2.857136	1.651591	2.727752
20	-17007.8	-16832.4	-175.31	0.2002742	0.0564912	0.0797472	0.223847	0.0123396	0.201597	0.293112	0.0583055	0.359199	1.34034	0.160684	0.375537	0.119759	0.30334	0.0485835	0.366034	0.0491734	0.42869	0.632463	0.0119377	0.0179216	0.0104236	0.00616776	0.0383795	0.00927616	0.129605	0.210567	0.119142	0.0325784	0.0321075	0.523811	0.00170929	0.00121619	0.438691	0.191941	0.0686219	0.001688	0.781	0.0329164	0.0745285	0.505534	0.00563896	0.0770412	0.0234607	0.0571515	3.58497	0.0975508	0.0349578	0.091279	0.211806	0.0299016	0.143747	0.0978848	0.00444952	0.141519	0.00635889	0.310609	0.0910213	0.0642247	0.0494	0.00888268	0.0885399	0.00967047	0.596331	0.00751972	0.262668	0.0141492	0.0862097	0.0693121	0.0471925	0.0284471	0.0088722	0.125781	0.029881	0.091798	0.000303551	0.208554	3.2578	0.0329128	0.0148572	0.169056	0.551427	0.00583049	0.210102	0.00996602	0.541017	0.0931639	0.218263	0.962552	0.0132195	0.0990705	0.0072677	0.0786361	0.131372	0.104039	0.0664503	0.120108	0.00165992	0.00200174	0.0566294	0.210998	0.0479547	0.104232	0.786591	0.18652	0.0173006	0.00495365	1.40638	0.00973001	0.417436	0.921734	0.951258	0.0114521	0.247085	0.132652	0.00619692	0.647081	0.188959	0.00530665	5.06305	0.0491016	0.652086	0.01357	0.0113011	0.70825	0.00422072	3.1013	0.0184839	0.0948432	0.124806	0.0847829	0.0582276	0.0542624	0.13736	0.0558152	0.445169	0.0780812	0.183134	0.0141728	0.0634602	0.0466461	0.503335	0.0455476	0.163527	0.0998856	0.0331503	0.00994092	1.02639	0.667428	0.0111553	0.0170166	0.0404644	0.0144294	0.314552	0.0341107	0.410631	0.103168	0.0402351	0.382131	0.123222	0.0127604	0.0245701	0.00901721	0.218313	0.103761	0.043888	0.015035	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.2634766	0.240502	0.221357	0.269854	0.268287	1.999993	0.6648405	0.3246835	-2.445903	1.625422	2.641998
30	-16991.5	-16839.7	-151.738	0.2002742	0.0535715	0.0699492	0.196344	0.0108235	0.0425338	0.2571	0.0511419	0.315067	1.17566	0.140942	0.329398	0.105045	0.266071	0.0426144	0.321062	0.0431319	0.37602	0.554756	0.010471	0.0157197	0.00914291	0.00540997	0.0336641	0.00813647	0.113682	0.184696	0.104503	0.0285757	0.0281627	0.459454	0.00149928	0.00106677	0.384792	0.0364438	0.0601908	0.0014806	4.64576	0.146599	0.0653717	0.443423	0.00494614	0.0675757	0.0205782	0.0501297	3.14451	0.0855655	0.0306628	0.0800642	0.185782	0.0262278	0.126086	0.0858584	0.00390284	0.124131	0.00557761	0.272447	0.0798381	0.0563339	0.0433306	0.00779133	0.0776616	0.00848233	0.523064	0.00659582	0.230396	0.0124108	0.0756178	0.0607962	0.0413943	0.024952	0.00778213	0.110327	0.0262097	0.0805195	0.000266256	0.18293	2.85753	0.028869	0.0130318	0.148285	0.483677	0.00511414	0.184288	0.00874156	0.474546	0.0817175	0.191446	0.84429	0.0115953	0.0868984	0.00637477	0.0689746	0.115232	0.0912561	0.058286	0.00161611	0.00145598	0.0017558	0.0496717	0.185074	0.0420629	0.0914261	0.689948	0.163604	0.015175	0.00434503	0.0229703	0.00853455	0.366148	0.808487	0.834384	0.0100451	0.216727	0.116354	0.00543555	0.567578	0.165743	0.00465466	4.44099	0.0430688	0.571968	0.0119028	0.00991258	0.621232	0.00370215	2.72027	0.0162129	0.0831905	0.109472	0.0743662	0.0510736	0.0475955	0.120483	0.0489576	0.390474	0.0684879	0.160633	0.0124315	0.0556633	0.040915	0.441494	0.0399515	0.143435	0.0876134	0.0290774	0.00871955	0.900289	0.585426	0.00978471	0.0149259	0.0354928	0.0126564	0.303287	0.0299198	0.36018	0.0904927	0.0352917	0.33528	0.108083	0.00747024	0.47612	0.00790933	0.204623	0.105366	0.0369729	0.0341251	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.2493408	0.240502	0.221357	0.269854	0.268287	2.000606	0.6648405	0.2361631	-2.851209	1.67808	2.815953
40	-16979.4	-16842.8	-136.525	0.2002742	0.0645212	0.0603111	0.169291	0.00933215	0.0366732	0.221675	0.0440952	0.271654	1.01367	0.121522	0.284011	0.0905715	0.229409	0.0367427	0.276824	0.0371888	0.324209	0.478318	0.00902825	0.0135537	0.00788313	0.00466455	0.0290256	0.00701537	0.0980177	0.159248	0.0901043	0.0246383	0.0242822	0.396147	0.0012927	0.000919779	0.331773	0.0314224	0.0518973	0.0012766	4.00564	0.1264	0.0563644	0.382325	0.00426462	0.0582647	0.0177428	0.0432224	2.71124	0.0737756	0.0264379	0.0690324	0.160184	0.0226139	0.108713	0.0740282	0.00336508	0.107028	0.00480909	0.234907	0.0688375	0.0485718	0.0373602	0.131716	0.0669609	0.00731357	0.450993	0.00568701	0.19865	0.0107007	0.0651986	0.0524193	0.0356907	0.0215139	0.00670986	0.0951252	0.0225984	0.0694249	0.00022957	0.157725	2.4638	0.0248912	0.0112362	0.127853	0.417033	0.00440948	0.158896	0.00753709	0.40916	0.0704579	0.165067	0.727958	0.0099976	0.0749249	0.00549641	0.0594708	0.0993542	0.0786822	0.050255	0.00139343	0.00125536	0.00151387	0.0428276	0.159573	0.0362672	0.0788288	0.594882	0.141061	0.0130841	0.00374634	0.0198053	0.0073586	0.315698	0.697088	0.719416	0.00866098	0.186865	0.100322	0.0046866	0.489373	0.142905	0.00401331	3.82908	0.0371345	0.493159	0.0102627	0.00854675	0.535634	0.00319204	2.34545	0.013979	0.0717279	0.0943881	0.0641195	0.0440363	0.0410375	0.103882	0.0422119	0.336672	0.0590511	0.1385	0.0107186	0.0479936	0.0352775	0.380662	0.0344467	0.123672	0.0755414	0.0250709	0.0075181	0.77624	0.504762	0.422231	0.0128693	0.0306024	0.0109125	0.261498	0.0257972	0.310552	0.078024	0.123285	0.289082	0.0931906	0.00644094	0.410517	0.00681953	0.174071	0.0877712	0.0344173	0.00401627	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.2187299	0.240502	0.221357	0.269854	0.268287	1.997848	0.6648405	0.2431683	-2.850898	1.695227	2.873793
50	-17008.1	-16838.5	-169.647	0.2002742	0.0518875	0.0761584	0.213773	0.0117843	0.0463094	0.279921	0.0556816	0.343034	1.28002	0.153453	0.358637	0.11437	0.289689	0.0463972	0.349562	0.0469605	0.409398	0.604	0.0114005	0.0171151	0.00995449	0.0058902	0.0366523	0.00885871	0.123773	0.201091	0.11378	0.0311123	0.0306626	0.500238	0.00163236	0.00116146	0.418949	0.0396789	0.0655338	0.00161203	5.05815	0.159612	0.0711746	0.482784	0.00538519	0.0735742	0.0224049	0.0545795	3.42364	0.0931609	0.00895609	0.0871713	0.202274	0.0285559	0.137278	0.0934798	0.00424928	0.13515	0.00607272	0.296631	0.0869251	0.0613345	0.0471769	0.166325	0.0845554	0.00923528	0.569495	0.00718132	0.122927	0.0135125	0.0823301	0.0661929	0.0450687	0.0271669	0.00847293	0.12012	0.0285363	0.0876669	0.00914041	0.199168	3.11119	0.0314316	0.0141886	0.161448	0.526612	0.00556811	0.200647	0.00951753	0.51667	0.0889713	0.20844	0.919235	0.0126246	0.0946121	0.04492	0.0750973	0.12546	0.0993566	0.323746	0.00175956	0.00158522	0.00191165	0.0540809	0.201503	0.0457967	0.0995417	0.751193	0.178126	0.0165221	0.00473073	0.0250093	0.00929214	0.39865	0.880254	0.908449	0.0109367	0.235966	0.126682	0.00591804	0.617961	0.180455	0.00506784	4.83521	0.0468919	0.62274	0.0129593	0.0107925	0.676377	0.00403078	2.96174	0.0176521	0.090575	0.119189	0.0809675	0.0556073	0.0518204	0.131178	0.0533034	0.425135	0.0745674	0.174892	0.013535	0.0606043	0.0445469	0.480684	0.0434979	0.156168	0.0953906	0.0316585	0.00949355	0.980204	0.637392	0.0218961	0.0162508	0.0386434	0.0137799	0.330209	0.0325756	0.392152	0.0985255	0.15568	0.365041	0.117677	0.00813336	0.518384	0.00861142	0.223709	0.117941	0.0377732	0.00466665	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.2739068	0.240502	0.221357	0.269854	0.268287	2.000298	0.6648405	0.240029	-2.799122	1.656579	2.744253
60	-17053.2	-16836.5	-216.683	0.2002742	0.054229	2.56012	0.284558	0.0156863	0.0616433	0.372609	0.0741189	0.45662	0.511201	0.204265	0.477389	0.15224	0.385611	0.0617602	0.465309	0.0625101	0.544958	0.803997	0.0151754	0.0227822	0.0132506	0.00784056	0.0487886	0.011792	0.164756	0.267677	0.151455	0.0414142	0.0408156	0.665877	0.00217287	0.00154604	0.557672	0.0528173	0.00129353	0.00214581	6.73301	0.212463	0.094742	0.642644	0.00716834	0.0979362	0.0298236	0.0726519	4.55728	0.124008	0.0119216	0.116035	0.269251	0.0380114	0.182734	0.124433	0.0056563	0.179901	0.00808352	0.394852	0.115708	0.0816436	0.0627981	0.221399	0.112553	0.0122933	0.758067	0.0095592	0.163631	0.0179867	0.109591	0.0881107	0.0599919	0.0361624	0.0112785	0.159894	0.0379853	0.116695	0.012167	0.265117	4.14137	0.0418393	0.0188868	0.214906	0.700983	0.00741182	0.267085	0.012669	0.68775	0.118432	0.277459	1.22361	0.0168048	0.12594	0.0597939	0.247302	0.167003	0.132256	0.430944	0.00234219	0.00211012	0.00254464	0.0719882	0.268224	0.0609609	0.132502	0.999928	0.237107	0.0219929	0.00629717	0.0332904	0.012369	0.530651	1.17172	1.20926	0.0145581	0.314099	0.168629	0.00787763	0.82258	0.240207	0.00674591	0.109635	0.0624188	0.828942	0.10781	0.0143661	0.900339	0.00536545	3.94243	0.0234971	0.120566	0.158655	0.107777	0.07402	0.0689792	0.174614	0.0709533	0.565906	0.0461118	0.232803	0.0180168	0.0806716	0.0592973	0.639849	0.0579009	0.207878	0.126976	0.0421412	0.0126371	1.30477	0.848446	0.0291463	0.0216317	0.051439	0.171227	0.439548	0.0433621	0.522002	0.131149	0.207228	0.485914	0.156643	0.0108265	0.690031	0.0114628	0.273253	0.0837303	0.0423519	0.018028	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.3349789	0.240502	0.221357	0.269854	0.268287	1.999208	0.6648405	0.5315528	-2.390109	1.875183	3.516312
70	-17120.8	-16840.6	-280.246	0.2002742	0.0595484	3.72592	0.414137	0.0228293	0.0897138	0.542284	0.10787	0.66455	0.743987	0.29728	0.694778	0.221566	0.561206	0.0898839	0.677197	0.0909754	0.793116	1.17011	0.0220859	0.0331566	0.0192846	0.0114109	0.0710055	0.0171617	0.239781	0.389569	0.220423	0.060273	0.0594018	0.969097	0.00316233	0.00225006	0.811618	0.0768687	0.00188256	0.00312294	9.79902	0.309213	0.0914386	0.935284	0.0104326	0.142533	0.0434044	0.105735	6.63253	0.180478	0.0173504	0.168874	0.391859	0.0553206	0.265945	0.181096	0.00823201	0.261823	0.0117645	0.574656	0.168398	0.118822	0.0913945	0.322218	0.163807	0.0178912	1.10327	0.0139122	0.238143	0.0261773	0.159496	0.128234	0.0873103	0.0526297	0.0164144	0.232706	0.0552826	0.169835	0.0177075	0.385843	6.02722	0.0608916	0.0274873	0.312768	1.02019	0.0107869	0.388707	0.018438	1.00093	0.172362	0.403806	1.78081	0.0244572	0.183289	0.0870222	0.359916	0.243051	0.192481	0.627183	0.00340875	0.00307101	0.0037034	0.10477	0.390365	0.0887206	0.192839	1.45527	0.345079	0.0320077	0.00916471	0.0484499	0.0180014	0.772294	1.70529	1.75991	0.0211874	0.45713	0.245418	0.0114649	1.19716	0.349591	0.00981779	0.15956	0.0908424	1.20642	0.156903	0.020908	1.31033	0.00780872	5.73769	0.0341969	0.175468	0.230902	0.156856	0.107726	0.10039	0.254128	0.103263	0.823603	0.0671097	0.338814	0.0262211	0.117407	0.0862995	0.931216	0.607176	0.302539	0.184798	0.0613311	0.0183916	1.89892	1.2348	0.0424186	0.0314822	0.0748628	0.249198	0.639705	0.0631079	0.759706	0.190871	0.301594	0.707185	0.227973	0.0157565	1.00425	0.0166827	0.422766	0.1111	0.0204577	0.0197705	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.490071	0.240502	0.221357	0.269854	0.268287	1.999002	0.6648405	0.472393	-1.938827	1.542001	2.377766
80	-17084.2	-16843.4	-240.766	0.2002742	0.0530711	2.9429	0.327105	0.0180316	0.0708601	0.428321	0.085201	0.524892	0.587635	0.234806	0.548767	0.175003	0.443266	0.0709944	0.534881	0.0718565	0.626439	0.924209	0.0174444	0.0261886	0.0152318	0.00901286	0.0560834	0.0135551	0.18939	0.307699	0.1741	0.0476063	0.0469183	0.765437	0.00249776	0.0017772	0.641053	0.0607144	0.00148693	0.00246664	7.73971	0.24423	0.0722224	0.73873	0.00824013	0.112579	0.0342828	0.0835147	5.23867	0.14255	0.0137041	0.133385	0.309509	0.0436948	0.210056	0.143038	0.00650202	0.2068	0.00929215	0.453889	0.133008	0.0938507	0.0721875	0.254502	0.129382	0.0141313	0.871411	0.0109885	0.188097	0.020676	0.125977	0.101285	0.0689617	0.0415693	0.0129648	0.183801	0.0436647	0.134143	0.0139862	0.304757	3.41691	0.048095	0.0217107	0.247039	0.805793	0.00852002	0.307019	0.0145632	0.790581	0.136139	0.318944	1.40656	0.0193174	0.14477	0.0687341	0.284278	0.191973	0.15203	0.495378	0.00269239	0.00242562	0.00292511	0.0827518	0.308328	0.0700756	0.152313	1.14944	0.272559	0.0252812	0.00723871	0.0382679	0.0142183	0.609993	1.34692	1.39006	0.0167348	0.361062	0.193842	0.896281	0.94557	0.102546	0.00775454	0.126028	0.0717515	0.526371	0.123929	0.0165141	1.03496	0.00616768	4.53189	0.0270103	0.138593	0.182377	0.123892	0.0850873	0.0792929	0.0713108	0.0815621	0.650519	0.0530063	0.267611	0.0207106	0.0927335	0.0681633	0.735517	0.479575	0.238959	0.145962	0.0484421	0.0145265	1.49986	0.975304	0.0335042	0.0248661	0.05913	0.196828	0.505268	0.0498455	0.60005	0.150758	0.238213	0.558567	0.180063	0.0124452	0.793203	0.0131767	0.339634	0.0163761	0.0169729	0.114206	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.380176	0.240502	0.221357	0.269854	0.268287	2.001341	0.6648405	0.4935206	-2.263587	1.764878	3.114793
90	-17076.6	-16839.9	-236.718	0.2002742	0.0509008	2.71152	0.301387	0.0166139	0.0652889	0.394645	0.0785022	0.483624	0.541433	0.216345	0.505622	0.161243	0.408415	0.0228803	0.492827	0.0662069	0.577186	0.851545	0.0160729	0.0241295	0.0140343	0.00830424	0.051674	0.0124894	0.1745	0.283507	0.160412	0.0438634	0.0432294	0.705256	0.00230137	0.00163747	0.590652	0.0559409	0.00137003	0.00227271	7.13119	0.225028	0.066544	0.680649	0.00759227	0.103728	0.0315873	0.0769485	4.82679	0.131342	1.43293	0.122898	0.285174	0.0402594	0.193541	0.131792	0.00599081	0.19054	0.00856158	0.418203	0.122551	0.0864719	0.0665119	0.234492	0.11921	0.0130203	0.802898	0.0101245	0.173308	0.0190504	0.116072	0.0933215	0.0635397	0.038301	0.0119455	0.16935	0.0402317	0.123596	0.0128865	0.280796	3.14827	0.0443136	0.0200037	0.227616	0.742439	0.00785015	0.28288	0.0134182	0.728423	0.125435	0.293868	1.29598	0.0177986	0.133388	0.0633301	0.261927	0.176879	0.140077	0.45643	0.0024807	0.00223491	0.00269513	0.0762456	0.18294	0.0645661	0.140338	1.05906	0.25113	0.0232935	0.00666958	0.0352592	0.0131004	0.562033	1.24102	1.28077	0.177795	0.332674	0.178602	0.825813	0.871226	0.0944839	0.00714485	0.116119	0.0661101	0.484986	0.114185	0.0152157	0.953585	0.00568276	4.17558	0.0248866	0.127696	0.168038	0.114151	0.0783974	0.0730586	0.0657041	0.0751494	0.0792047	0.0488388	0.246571	0.0190823	0.0854425	0.0628041	0.677689	0.44187	0.220172	0.134486	0.0446334	0.0133844	1.38193	0.898622	0.03087	0.022911	0.0544811	0.181353	0.465542	0.0459265	0.552872	0.138905	0.219484	0.514651	0.165906	0.0114667	0.730839	0.0121407	0.312145	0.00592929	0.0202021	0.0689488	0.1331504	0.3351595	0.0671238	0.109817	0.195188	0.109241	0.146172	0.338736	0.100846	0.3555816	0.240502	0.221357	0.269854	0.268287	2.003392	0.6648405	0.5903747	-2.295883	1.880896	3.53777
