Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	branch_rates[127]	branch_rates[128]	branch_rates[129]	branch_rates[130]	branch_rates[131]	branch_rates[132]	branch_rates[133]	branch_rates[134]	branch_rates[135]	branch_rates[136]	branch_rates[137]	branch_rates[138]	branch_rates[139]	branch_rates[140]	branch_rates[141]	branch_rates[142]	branch_rates[143]	branch_rates[144]	branch_rates[145]	branch_rates[146]	branch_rates[147]	branch_rates[148]	branch_rates[149]	branch_rates[150]	branch_rates[151]	branch_rates[152]	branch_rates[153]	branch_rates[154]	branch_rates[155]	branch_rates[156]	branch_rates[157]	branch_rates[158]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-17065.7	-16825.6	-240.183	0.1710562	0.0630207	0.0305518	0.100339	0.155231	0.00238035	0.817014	0.100169	0.106459	0.0171182	0.0404955	0.0864935	6.1222	0.0818685	2.29188	0.102109	0.0479456	4.78226	0.475486	0.199467	0.0242405	0.121785	0.19585	0.120607	1.776	0.863682	0.0736967	0.530494	0.0225566	1.21347	0.0267642	0.0522675	0.344469	0.166084	0.684672	0.0522211	0.289178	0.112482	0.0144504	0.0546337	0.66384	0.121964	0.188331	0.225603	0.14347	1.04514	0.273523	0.102354	0.095849	0.0823779	0.182656	0.0927267	0.0199251	0.103125	0.328947	0.118352	0.0963699	1.34011	0.334851	0.367135	0.181944	0.0564689	1.76661	0.0596915	0.761439	0.249029	0.589414	0.0596837	0.12296	0.148784	0.935259	0.0615599	0.266276	0.180257	0.351942	0.0560095	0.251569	0.381321	0.0142123	1.17245	0.20486	0.0226866	0.21853	0.229413	0.0701101	0.110682	0.0301139	0.284505	0.48849	0.0376467	1.18755	0.0724052	0.728384	0.148595	2.85745	0.596526	0.234447	0.632217	0.222645	0.05972	0.00860506	0.134224	0.0806609	0.316927	0.994779	0.0310382	0.17873	0.252561	0.047033	0.287111	0.360613	0.0331478	0.0349863	2.03511	0.323583	0.043516	0.0641991	0.0423189	0.554471	0.632417	0.0367977	0.187131	0.120391	0.0119493	0.0839768	0.141955	0.287288	0.798875	0.45874	0.057295	0.304491	0.073939	0.193549	0.0409814	0.0850649	0.110422	0.13085	0.0851922	0.306764	0.208772	0.0414688	0.304909	0.212411	0.185394	0.191933	0.0757206	0.482503	0.142796	0.176426	0.30439	0.3989	0.103205	0.128461	0.0347421	0.303979	0.0814436	0.0305463	0.150287	0.0294183	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.3667848	0.27557	0.211793	0.267107	0.245531	1.998906	0.4641799	0.3810677	-1.786593	1.282041	1.643628
10	-17027.2	-16820.6	-206.536	0.1710562	0.0733272	0.81801	0.0798186	0.123485	0.00189354	0.649926	0.0796836	0.0846867	0.0136173	0.0322138	0.0688047	4.87015	0.0651255	1.82316	0.0812266	0.0381402	3.80424	0.378244	0.158674	0.0192831	0.096879	0.0266951	0.095942	1.41279	0.68705	0.058625	0.422003	0.0179435	0.965301	0.0212907	0.0415783	0.274022	0.132118	0.54465	0.0415413	0.230038	0.0894784	0.0114952	0.0434606	0.528078	0.0970209	0.149815	0.179465	0.114129	0.8314	0.217585	0.0814217	0.0762469	0.0655308	0.145301	0.0737631	0.0158502	0.0820352	0.261674	0.0941479	0.0766613	1.06605	0.26637	0.292052	0.0486585	0.0449205	1.40532	0.0398984	0.605717	0.1981	0.468873	0.0474778	0.0978138	0.118356	0.196665	0.0489703	0.21182	0.143392	0.279966	0.044555	1.98902	0.303337	0.0113057	0.932673	0.162964	0.018047	0.173838	0.182496	0.0557719	0.0880463	0.0239553	0.226321	0.388589	0.0299475	0.0198491	0.0575976	0.579422	0.118206	2.27307	0.47453	0.186501	0.502922	0.177112	0.0475066	0.00684523	0.106774	0.0641649	0.252112	0.791337	0.0246906	0.142178	0.20091	0.0374143	0.228394	0.286864	0.0263687	0.0278313	1.61891	0.257407	0.0346165	0.0510697	0.0336643	0.441076	0.503081	0.0292722	0.148861	0.09577	0.00950553	0.0668027	0.112924	0.228535	0.635497	0.364923	0.0455776	0.242219	0.0588177	0.153966	0.0326003	0.0676683	0.0878394	0.10409	0.0677695	0.244027	0.166076	0.032988	0.242552	0.168971	0.147479	0.152681	0.060235	0.383826	0.113593	0.140345	0.242139	0.317321	0.0820983	0.102189	0.027637	0.241812	0.146789	0.00849327	0.108705	0.0386517	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.2979221	0.27557	0.211793	0.267107	0.245531	2.000833	0.4641799	0.359784	-1.925099	1.343762	1.805695
20	-16994.8	-16819	-175.761	0.1710562	0.0757264	0.673564	0.0657243	0.10168	0.000600604	0.535161	0.0656129	0.0697325	0.0112127	0.0265254	0.056655	4.01017	0.0536255	1.50122	0.0668834	0.0314053	3.13248	0.311453	0.130655	0.015878	0.0797719	0.0219812	0.0790003	1.16332	0.565729	0.0482728	0.347485	0.014775	0.794846	0.0175311	0.0342363	0.225634	0.0391653	0.448474	0.0342059	0.189417	0.0736781	0.00946532	0.0357862	0.434829	0.0798888	0.12336	0.147775	0.0939758	0.68459	0.179163	0.067044	0.0180571	0.0539592	0.119644	0.101698	0.0130514	0.0675492	0.215467	0.077523	0.0631243	0.877801	0.219334	0.240481	0.0400662	0.0369883	1.15717	0.032853	0.498758	0.163119	0.386078	0.0390941	0.0805416	0.0974568	0.161937	0.040323	0.174416	0.118072	0.230529	0.0366874	1.63779	0.249773	0.00930935	0.767979	0.134187	0.0148602	0.143142	0.15027	0.0459235	0.0724989	0.0197252	0.186357	0.319971	0.0246593	0.0163441	0.0474269	0.477107	0.0973329	1.87169	0.390736	0.153568	0.414115	0.145837	0.0391178	0.00563649	0.0879195	0.0528346	0.207594	0.651601	0.0203307	0.117072	0.165433	0.0308076	0.188063	0.236209	0.0217125	0.0229168	1.33304	0.211953	0.0285038	0.0420517	0.0277198	0.363189	0.414246	0.0241032	0.122575	0.0788587	0.00782702	0.0550065	0.0929837	0.18818	0.523279	0.300484	0.0375294	0.199448	0.0484315	0.126779	0.0476481	0.0557192	0.0723285	0.0857095	0.0558026	0.200936	0.13675	0.0271629	0.199722	0.139134	0.121437	0.12572	0.0495985	0.316049	0.0935342	0.115562	0.199381	0.261288	0.0676012	0.0841443	0.0227568	0.0395911	0.276072	0.0374802	0.109375	0.0361285	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.2453912	0.27557	0.211793	0.267107	0.245531	1.999222	0.4641799	0.2064382	-2.445828	1.317629	1.736147
30	-17020	-16821.2	-198.804	0.1710562	0.0490728	0.755352	0.0737052	0.114026	0.000673532	0.600143	0.07358	0.0781999	0.0125743	0.0297463	0.0635344	4.4971	0.060137	1.68351	0.0750048	0.0352187	3.51284	0.349272	0.14652	0.017806	0.0894582	0.0246503	0.088593	1.30457	0.634423	0.0541344	0.389678	0.0165691	0.891361	0.0196598	0.0383935	0.253032	0.043921	0.50293	0.0383594	0.212418	0.0826245	0.25983	0.0401316	0.487628	0.0895893	0.13834	0.165718	0.105387	0.767717	0.200918	0.0751849	0.0202497	0.0605113	0.134171	0.114047	0.0146361	0.0757515	0.24163	0.0869363	0.0707892	0.984389	0.143934	0.269682	0.0449313	0.0414796	1.29768	0.0368422	0.55932	0.205064	0.432958	0.0438411	0.0903214	0.109291	0.181601	0.0452193	0.195595	0.132409	0.258521	0.0411422	1.83666	0.280102	0.0104397	0.861232	0.237013	0.0166646	0.160523	0.168517	0.0514999	0.0813021	0.0221204	0.208985	0.358824	0.0276536	0.0183287	0.0531857	0.53504	0.109152	2.09896	0.438182	0.172215	0.464399	0.163545	0.0438677	0.0063209	0.0985952	0.05925	0.232801	0.730722	0.0227993	0.131287	0.185521	0.0345484	2.92442	0.264891	0.0243489	0.0256994	1.4949	0.23769	0.031965	0.0471579	0.0310857	0.40729	0.464546	0.02703	0.0728809	0.0884342	0.00877743	0.0616857	0.104274	0.211029	0.586819	0.33697	0.0420865	0.223666	0.0543124	0.142173	0.0534338	0.062485	0.0811111	0.0961168	0.0625785	0.225335	0.153355	0.0304612	0.223973	0.162528	0.136183	0.140986	0.0556211	0.354426	0.104892	0.129595	0.223591	0.293015	0.0758098	0.0943615	0.02552	0.044395	0.111666	0.0223164	0.107125	0.0311798	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.2918522	0.27557	0.211793	0.267107	0.245531	1.999368	0.4641799	0.2293322	-2.210585	1.214908	1.476002
40	-17012	-16820.5	-191.485	0.1710562	0.0683647	0.717389	0.0700009	0.108295	0.000639681	0.569981	0.0698819	0.0742696	0.0119423	0.0282512	0.0603412	4.27108	0.0571146	1.5989	0.0712351	0.0334487	3.33629	0.331718	0.139156	0.0169111	1.39925	0.0234114	0.0841404	1.23901	0.602538	0.0514137	0.370093	0.0157363	0.846562	0.0186718	0.0364638	0.240315	0.0417135	0.477654	0.0364315	0.0272618	0.0784719	0.246771	0.0381146	0.463121	0.0850866	0.131387	0.157389	0.10009	0.729132	0.19082	0.0714062	0.00363257	0.05747	0.127428	0.108315	0.0139005	0.0719443	0.229486	0.082567	0.0672314	0.934914	0.1367	0.256128	0.0426731	0.0393949	1.23246	0.0349906	0.531209	0.194758	0.411198	0.0416377	0.085782	0.103798	0.172474	0.0429466	0.185765	0.125754	0.245528	0.0390744	1.74435	0.266024	0.00991505	0.817947	0.225101	0.0158271	0.152455	0.160048	0.0489115	0.077216	0.0210086	0.130871	0.34079	0.0262638	0.0174075	0.0505127	0.508149	0.103666	1.99347	0.416159	0.16356	0.441059	0.155326	0.041663	0.00600322	0.0936399	0.0562722	0.221101	0.693997	0.0216534	0.124689	0.176197	0.032812	2.77744	0.251578	0.0231252	0.0244078	1.41977	0.225744	0.0303584	0.0447878	0.0295233	0.38682	0.441199	0.0256715	0.069218	0.0839896	0.00833628	0.0585854	0.0990336	0.200423	0.557326	0.320034	0.0399712	0.0373143	0.0515827	0.135027	0.0507483	0.0593446	0.0770345	0.0912861	0.0594334	0.21401	0.145648	0.0289302	0.212716	0.154359	0.129338	0.1339	0.0528256	0.336613	0.0996199	0.123081	0.212354	0.278288	0.0719996	0.089619	0.0242374	0.0421986	0.0540841	0.0240881	0.0790139	0.0367927	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.2824919	0.27557	0.211793	0.267107	0.245531	2.000158	0.4641799	0.3066067	-2.222703	1.442577	2.081027
50	-17033.4	-16821.5	-211.888	0.1710562	0.0631799	0.801978	0.0782552	0.121065	0.000715108	0.637189	0.0781219	0.083027	0.0133504	0.0315824	0.0674562	4.7747	0.0638491	1.78743	0.0796347	0.0373927	3.72968	0.370831	0.155564	0.0189052	1.56424	0.0261719	0.0940617	1.3851	0.673585	0.057476	0.413732	0.0175919	0.946382	0.0208734	0.0407634	0.268651	0.0466321	0.533975	0.0407272	0.0304764	0.0877247	0.275869	0.0426088	0.517729	0.0951195	0.146879	0.175948	0.111892	0.815106	0.21332	0.0798259	0.00406089	0.0642465	0.142454	0.121086	0.0155396	0.0804274	0.256546	0.0923027	0.0751588	1.04515	0.0141369	0.286328	0.0477048	0.0440401	1.37778	0.0391164	0.593846	0.217722	0.459684	0.0465473	0.0958968	0.116037	0.19281	0.0480105	0.207669	0.140582	0.274479	0.0436818	1.95004	0.297392	0.0110842	0.914394	0.251643	0.0176933	0.170431	0.178919	0.0546788	0.0863207	0.0234858	0.146303	0.380973	0.0293606	0.01946	0.0564688	0.568066	0.115889	2.22853	0.46523	0.182845	0.493066	0.173641	0.0465756	0.00671108	0.104681	0.0629074	0.247171	0.775828	0.0242067	0.139391	0.196972	0.036681	3.10494	0.281242	0.0258519	0.0272858	1.58718	0.252362	0.0339381	0.010541	0.0330045	0.432431	0.493222	0.0286985	0.0773797	0.093893	0.00931924	0.0654934	0.110711	0.0196228	0.623042	0.357771	0.0446844	0.0417142	0.0576649	0.150949	0.0567321	0.0663421	0.0861179	0.10205	0.0664413	0.239245	0.162821	0.0323415	0.237798	0.17256	0.144589	0.149688	0.0590544	0.376304	0.111366	0.137594	0.237393	0.311102	0.0804893	0.100186	0.0270953	0.0471505	0.363671	0.00667116	0.126938	0.0430599	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.315343	0.27557	0.211793	0.267107	0.245531	1.999359	0.4641799	0.4091986	-2.224117	1.631295	2.661124
60	-17026.4	-16819.1	-207.253	0.1710562	0.0689665	0.780259	0.0761366	0.117786	0.000695741	0.619932	0.0760062	0.0807784	0.0129889	0.0307271	0.0656293	4.64539	0.06212	0.0675759	0.077478	0.03638	3.62867	0.360788	0.151351	0.0183932	1.52188	0.0254631	0.0915143	1.34759	0.655343	0.0559194	0.402527	0.0171154	0.920752	0.0203081	0.0396594	0.261375	0.0453692	0.519514	0.0396242	0.029651	0.0853489	0.268398	0.0414549	0.503707	0.0925434	0.142901	0.171182	0.108862	0.793031	0.207543	0.077664	0.00395092	0.0625065	0.138596	0.117807	0.0151188	0.0782493	0.249598	0.212152	0.0731233	1.01685	0.013754	0.278574	0.0464129	0.0428474	1.34047	0.038057	0.577763	0.211826	0.447235	0.0452867	0.0932997	0.112894	0.187589	0.0467103	0.202045	0.125434	0.267046	0.139834	1.89722	0.289338	0.010784	0.88963	0.244828	0.20426	0.165816	0.174074	0.053198	0.083983	0.0228498	0.142341	0.370655	0.0285655	0.018933	0.0549395	0.552682	0.112751	2.16817	0.45263	0.177894	0.479712	0.168938	0.0453142	0.00652933	0.101846	0.0612037	0.240477	0.754817	0.0235511	0.135616	0.191638	0.0356876	3.02085	0.273625	0.0251518	0.0265468	1.5442	0.245527	0.033019	0.0102556	0.0321107	0.42072	0.479864	0.0279212	0.0752841	0.0913502	0.00906685	0.0637197	0.107713	0.0190914	0.606168	0.348081	0.0434742	0.0405845	0.0561032	1.35488	0.0551957	0.0645454	0.0837856	0.0992861	0.064642	0.362541	0.158412	0.0314656	0.231358	0.167887	0.140673	0.145634	0.0574551	0.366112	0.10835	0.133868	0.230964	0.302676	0.158177	0.097473	0.0263615	0.0458672	0.183008	0.00834868	0.10749	0.0425004	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.3065796	0.27557	0.211793	0.267107	0.245531	1.998937	0.4641799	0.3096729	-2.255375	1.471826	2.166272
70	-17023.4	-16819.5	-203.873	0.1710562	0.0822799	0.781915	0.0762977	0.118036	0.000697218	0.621248	0.0761675	0.0809499	0.0130164	0.0307923	0.0657686	4.65525	0.0622518	0.0677193	0.0776424	0.0364572	3.63637	0.361554	0.151672	0.0184322	1.52511	0.0255171	0.0917085	1.35045	0.656734	0.0560381	0.403382	0.0171518	0.922706	0.0203512	0.0397436	0.26193	0.0454655	0.520617	0.0397083	0.0297139	0.0855301	0.268967	0.0415429	0.504776	0.0927398	0.143204	0.171546	0.109093	0.794714	0.207984	0.0778289	0.0039593	0.0626392	0.13889	0.118057	0.0151508	0.0784153	0.250128	0.212602	0.0732785	1.01901	0.0137832	0.279165	0.0465114	0.0429383	0.178702	0.0381378	0.578989	0.212275	0.448184	0.0453828	0.0934977	0.113134	0.187987	0.0468094	0.202473	0.1257	0.267612	0.140131	1.90125	0.289952	0.0108069	0.891518	0.245348	0.204693	0.166168	0.174443	0.0533109	0.0841612	0.0228983	0.142643	0.371442	0.0286261	0.0189732	0.0550561	0.553855	0.11299	2.17277	0.453591	0.178271	0.48073	0.169297	0.0454104	0.00654318	0.102062	0.0613336	0.240988	0.756418	0.0236011	0.135904	0.192045	0.0357633	3.02726	0.274206	0.0252052	0.0266032	1.54747	0.246048	0.0472336	0.0102773	0.0321788	0.421613	0.480883	0.0279805	0.0754439	0.0915441	0.00908609	0.0638549	0.107941	0.0191319	0.607455	0.34882	0.0435665	0.0236621	0.0562223	1.35776	0.0553129	0.0646824	0.0839634	0.0994968	0.0647792	0.36331	0.158748	0.0315324	0.231849	0.168243	0.140972	0.145944	0.0575771	0.366889	0.10858	0.134152	0.231454	0.303319	0.158513	0.0976799	0.0264175	0.0459644	0.123122	0.0239923	0.0977583	0.0296657	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.2994971	0.27557	0.211793	0.267107	0.245531	1.999415	0.4641799	0.3824205	-2.001866	1.442658	2.081263
80	-16993.6	-16820.9	-172.668	0.1710562	0.065779	0.617145	0.0602199	0.0931627	0.000550296	0.490334	0.060117	0.0638916	0.0102735	0.0243036	0.0519094	3.67426	0.0491337	0.404005	0.0612811	0.0287747	2.87009	0.285365	0.119711	0.187108	1.20373	0.02014	0.0723831	1.06587	0.518342	0.0442294	0.318378	0.0135374	0.728268	0.0160627	0.0313686	0.206735	0.0358847	0.410909	0.0313407	0.0234524	0.0675066	0.212289	0.0327887	0.398407	0.0731971	0.113028	0.135397	0.0861042	0.627247	0.164156	0.0614283	0.00312497	0.0494395	0.109622	0.0931794	0.0119582	0.0618912	0.197419	0.167801	0.0578368	0.804274	0.0108787	0.220338	0.0367102	0.0338901	0.141045	0.0356537	0.456981	0.167543	0.35374	0.0358195	0.0737953	0.0892935	0.148373	0.0369454	0.159807	0.099212	0.211219	0.110601	1.50061	0.228851	0.00813947	0.703652	0.193647	0.161559	0.131152	0.137683	0.0420769	0.0664262	0.018073	0.112584	0.293169	0.0225938	0.014975	0.0434543	0.437143	0.08918	1.71491	0.358007	0.140705	0.379428	0.133621	0.0358412	0.00516436	0.0805552	0.048409	0.190205	0.597021	0.0186277	0.107266	0.151576	0.0282271	2.38934	0.216424	0.0198938	0.0209972	1.22138	0.194199	0.0372802	0.00811162	0.0253979	0.332768	0.379548	0.0264423	0.0595458	0.0722533	0.00717141	0.050399	0.0851951	0.0151003	0.479448	0.275315	0.0343859	0.0186759	0.0443748	1.07164	0.043657	0.0510521	0.0662701	0.0785302	0.0511285	0.286751	0.125296	0.0248877	0.182992	0.13279	0.111265	0.115189	0.0454441	0.289576	0.0856995	0.105883	0.182681	0.239402	0.12511	0.0770961	0.0208506	0.0362938	0.111094	0.0576692	0.0485692	0.0250767	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.2399245	0.27557	0.211793	0.267107	0.245531	2.000834	0.4641799	0.2532643	-2.539484	1.527195	2.332325
90	-16976.1	-16822	-154.094	0.1710562	0.0772569	0.585144	0.0570974	0.088332	0.000521761	0.464909	0.0569998	0.0605786	0.00974083	0.0230434	0.0492178	3.48374	0.046586	0.0842541	0.0581035	0.0272827	2.72127	0.270568	0.113503	0.177406	1.14131	0.0190957	0.0686298	1.01061	0.491465	0.041936	0.30187	0.0128355	0.690505	0.0130617	0.029742	0.196015	0.034024	0.389602	0.0297156	0.0230415	0.0640062	0.201281	0.0310885	0.377748	0.0694016	0.107167	0.128376	0.0816395	0.594723	0.155644	0.0582431	0.00296294	0.0468759	0.103938	0.0883478	0.0113381	0.058682	0.187182	0.159101	0.0548378	0.762571	0.0103146	0.208913	0.0348067	0.0321328	0.133731	0.0338049	0.433285	0.158856	0.335397	0.0339621	0.0699688	0.0846635	0.14068	0.0350297	0.15152	0.0940676	0.200267	0.104866	1.4228	0.216985	0.00771742	0.667166	0.183605	0.153182	0.124351	0.130544	0.0398951	0.0629819	0.0171359	0.106746	0.277968	0.0214223	0.0141986	0.0412011	0.414476	0.0845558	1.62599	0.339444	0.133409	0.359754	0.126693	0.0339828	0.00489658	0.0763782	0.0458989	0.180343	0.566064	0.0176618	0.101704	0.143716	0.0267634	2.26545	0.205202	0.0188622	0.0199084	1.15805	0.18413	0.0540502	0.00769101	0.0240809	0.315513	0.359867	0.0250712	0.0564583	0.0685068	0.00679956	0.0477857	0.0807776	0.0143173	0.0368917	0.261039	0.0326029	0.0177075	0.0420738	1.01607	0.0413933	0.0484049	0.0628338	0.0744582	0.0484773	0.0272224	0.118799	0.0235972	0.173504	0.125905	0.105496	0.109217	0.0430877	0.274561	0.0812558	0.100392	0.173208	0.226988	0.118623	0.0730985	0.0197694	0.0344036	0.121703	0.0394884	0.0441066	0.0361596	0.07940086	0.5358201	0.09165536	0.104095	0.150825	0.105277	0.107583	0.400681	0.131539	0.221678	0.27557	0.211793	0.267107	0.245531	1.999661	0.4641799	0.1991188	-2.431641	1.278896	1.635574
