Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	branch_rates[127]	branch_rates[128]	branch_rates[129]	branch_rates[130]	branch_rates[131]	branch_rates[132]	branch_rates[133]	branch_rates[134]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-16395.6	-16177.2	-218.384	0.05132207	0.0826706	0.0723236	0.101104	1.27932	0.0817425	0.121326	0.00418197	1.95769	1.28654	0.0732986	0.120954	0.0451173	0.0975643	0.119902	0.713273	0.177036	2.46957	1.32574	0.0164845	0.0284716	0.0632147	0.048209	0.00944889	1.24812	0.788309	0.231287	0.353153	0.428319	0.0239921	0.691558	0.125657	1.12051	0.018268	0.208148	0.0269403	0.746409	0.118504	0.0111084	1.00702	0.0988651	0.0433833	0.146759	0.15574	0.233664	0.0299619	0.10121	0.0163625	0.0349525	0.043598	0.26785	0.250713	1.18632	0.0671709	0.0515189	0.882139	0.0361566	0.0601426	0.95523	0.0353462	0.0520656	1.16468	2.52112	0.0569932	1.18797	0.0589759	0.390277	3.36344	0.0274228	0.0307419	0.0487462	0.121232	0.027282	0.164997	0.0393102	0.070075	0.0918062	0.136427	5.88693	0.0749662	0.174781	0.163756	0.0159117	0.324695	4.39161	0.0308449	0.144661	0.0549212	0.207179	1.15538	0.373945	0.116346	0.519457	1.3161	0.469879	0.00987831	0.0404626	0.0487133	0.851177	0.0933754	0.764505	0.0145492	0.251077	0.116352	0.0761494	0.0441677	3.95819	3.62303	0.0789939	3.78617	0.0611799	0.0423409	0.147378	0.295163	0.0286249	0.236209	0.0538855	0.294543	1.20085	0.302554	0.804103	0.0130425	0.00038839	3.59795	0.0548719	0.0633243	0.0507033	0.00966432	0.336355	5.23813	0.22074	0.00508909	0.105479	0.0353209	0.0291127	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.5529721	0.262251	0.226382	0.272147	0.23922	1.999393	0.3000539	0.5412183	-1.979655	1.652708	2.731445
10	-16384.1	-16179.6	-204.44	0.05132207	0.0729985	0.0654697	0.0915223	1.15808	0.073996	0.109828	0.00378566	1.77216	1.16462	0.0663524	0.109492	0.0408417	0.0883184	0.108539	0.645678	0.160259	2.23554	1.2001	0.0149223	0.0257734	0.0572241	0.0436404	0.00855345	1.12984	0.713604	0.209369	0.319686	0.387728	0.0340772	0.626021	0.113749	1.01432	0.0165368	0.188423	0.0243872	0.675675	0.107274	0.0100557	0.911587	0.089496	0.039272	0.132851	0.140981	0.211521	0.0271225	0.0916188	0.0148119	0.0316402	0.0394664	0.242466	0.226953	1.07389	0.0608053	0.0466366	0.798542	0.0327302	0.0544431	0.864706	0.0319965	0.0471315	1.0543	2.2822	0.0515921	1.07539	0.053387	0.353291	3.0447	0.0248241	0.0278286	0.0441267	0.109743	0.0246965	0.149361	0.0355849	0.0634342	0.0831061	0.123499	5.32904	0.0678619	0.158217	0.148237	0.0144038	0.293925	3.97543	0.0279218	0.130952	0.0497165	0.187546	1.04589	0.338507	0.105321	0.809692	1.19137	0.42535	0.00894217	0.0366281	0.0440969	0.770514	0.0845265	0.0284359	0.0131704	0.227283	0.105325	0.068933	0.0399821	3.58308	3.27969	0.071508	3.42737	0.0553821	0.0383284	0.133412	0.267192	0.0259122	0.213824	0.048779	0.26663	1.08705	0.273882	0.727901	0.0118065	0.000351584	3.25698	0.0496718	0.0573233	0.0458983	0.00874846	0.30448	4.74173	0.199821	0.0135872	0.117024	0.0436677	0.00576104	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.4983896	0.262251	0.226382	0.272147	0.23922	2.001056	0.3000539	0.3635465	-2.210929	1.5486	2.398162
20	-16378	-16173.4	-204.603	0.05132207	0.0853879	0.0634847	0.0887475	1.12297	0.0717526	0.106498	0.00367088	1.71843	1.12931	0.0643407	0.106172	0.0396034	0.0856408	0.105248	0.626102	0.1554	2.16776	1.16371	0.0144699	0.024992	0.0554891	0.0423173	0.00829412	1.09558	0.691968	0.203021	0.309994	0.375973	0.0330441	0.607041	0.1103	0.98357	0.0160354	0.18271	0.0236479	0.655189	0.104022	0.00975081	0.883949	0.0867826	0.0380814	0.128824	0.136706	0.205108	0.0263002	0.088841	0.0143628	0.0306809	0.00824082	0.0409518	0.220073	1.04133	0.0589618	0.0452226	0.774331	0.0317378	0.0527924	0.83849	0.932464	0.0457025	1.02234	2.21301	0.0500279	1.04279	0.0517683	0.34258	2.95239	0.0240714	0.0269849	0.0427889	0.106416	0.0239478	0.144833	0.112902	0.061511	0.0805864	0.119754	5.16747	0.0658044	0.15342	0.143743	0.0139671	0.0753963	3.8549	0.0270753	0.126982	0.0679236	0.18186	1.01418	0.328244	0.102127	0.785143	1.15525	0.412454	0.00867106	0.0355176	0.0427599	0.747153	0.0819638	0.0275738	0.0127711	0.220392	0.102132	0.066843	0.0387699	3.47445	3.18025	0.0693399	3.32345	0.053703	0.0371663	0.129367	0.259091	0.0251266	0.207342	0.31625	0.258546	1.05409	0.265578	0.705832	0.0114485	0.000340924	3.15823	0.0481659	0.162795	0.0445067	0.00848322	0.295249	4.59797	0.193763	0.0068241	0.14216	0.0503027	0.0044867	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.490635	0.262251	0.226382	0.272147	0.23922	1.999668	0.3000539	0.4555224	-1.979916	1.54506	2.38721
30	-16368.1	-16175	-193.153	0.05132207	0.0799399	0.0581697	0.0813174	1.02895	0.0657454	0.0975819	0.00336355	1.57456	1.03476	0.058954	0.0972833	0.0362878	0.0784708	0.0964367	0.573684	0.14239	1.98627	0.134838	0.00639871	0.0228997	0.0508435	0.0387744	0.00759973	1.00386	0.634036	0.186024	0.284041	0.344496	0.0302776	0.556219	0.101065	0.901224	0.0146929	0.167413	0.021668	0.600336	0.0953129	0.00893446	0.809943	0.0795171	0.0348932	0.118038	0.125261	0.187936	0.0240983	0.0814032	0.0385103	0.0281122	0.00755089	0.0375233	0.201648	0.954152	0.0540254	0.545407	0.709503	0.0290807	0.0483726	0.76829	0.854397	0.0418763	0.936748	2.02773	0.0458395	0.955486	0.0474342	0.313899	2.70521	0.0220561	0.0247256	0.0392065	0.0975068	0.0219428	0.132707	0.10345	0.0563612	0.0554378	0.109728	4.73485	0.0602952	0.140576	0.131708	0.0127978	0.069084	3.53216	0.0248085	0.116351	0.0622369	0.166634	0.929273	0.300763	0.0935772	0.71941	1.05853	0.377923	0.00794511	0.032544	0.03918	0.6846	0.0751017	0.0252653	0.0117019	0.201941	0.0935814	0.0612468	0.035524	3.18356	2.914	0.0635347	3.04521	0.0492069	0.0340547	0.118536	0.237399	0.0230229	0.189983	0.289773	0.2369	0.965839	0.243343	0.646739	0.01049	0.000312382	2.89382	0.0441333	0.149165	0.0407806	0.007773	0.27053	4.21302	0.177541	0.011212	0.0605189	0.052426	0.0362188	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.4461851	0.262251	0.226382	0.272147	0.23922	2.001641	0.3000539	0.5474366	-2.058652	1.706542	2.912287
40	-16409.7	-16174.6	-235.124	0.05132207	0.0732894	0.0810079	0.113244	1.43293	0.0915578	0.135894	0.00468412	2.19276	1.44103	0.0821001	0.135478	0.0505348	0.109279	0.134299	0.79892	0.198294	2.76611	0.187776	0.00891092	0.0318904	0.0708053	0.0539977	0.0105835	1.39799	0.882966	0.259059	0.395558	0.47975	0.0421649	0.774598	0.140745	1.25506	0.0204616	0.233142	0.0301752	0.836035	0.132734	0.0124422	1.12794	0.110736	0.0485926	0.164382	0.17444	0.261722	0.0427293	0.113363	0.0536299	0.0391495	0.0105155	0.0522554	0.280817	1.32876	0.0752365	0.759541	0.988063	0.0404982	0.0673643	1.06993	1.18984	0.0583174	1.30453	2.82385	0.0638367	1.33062	0.0660575	0.43714	3.76731	0.0307157	0.0344333	0.0545995	0.135789	0.0305579	0.18481	0.144066	0.0784894	0.0772034	0.152809	6.59381	0.0839678	0.195768	0.183419	0.0178223	0.0962072	4.91894	0.0345487	0.162032	0.0866719	0.232057	1.29412	0.418847	0.130317	1.00186	1.47413	0.5263	0.0110645	0.0453212	0.0545626	0.953383	0.104588	0.0351848	0.0162962	0.281225	0.130323	0.0852931	0.0494712	4.43347	4.05807	0.0884792	4.2408	0.0685261	0.047425	0.165075	0.330605	0.032062	0.264572	0.403542	0.329911	1.34504	0.338883	0.900657	0.0146086	0.000435027	4.02997	0.0614607	0.20773	0.0567915	0.0108248	0.376744	5.86711	0.247246	0.00852793	0.0357374	0.0542868	0.0475254	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.620571	0.262251	0.226382	0.272147	0.23922	2.00015	0.3000539	0.6207319	-1.814263	1.635486	2.674814
50	-16438	-16181.9	-256.125	0.05132207	0.0776819	0.0932882	0.130411	1.65016	0.105437	0.156495	0.00539421	2.52517	1.65948	0.0945459	0.156016	0.0581956	0.125846	0.154658	0.920032	0.228354	3.18543	0.216242	0.0102618	0.0367247	0.081539	0.0621835	0.0121879	1.60992	1.01682	0.298331	0.455523	0.552477	0.0485569	0.892022	0.0739338	1.44532	0.0235634	0.268485	0.0347495	0.962773	0.152856	0.0143284	0.0641782	0.127523	0.055959	0.189301	0.200884	0.301397	0.0492068	0.130548	0.0617599	0.0450843	0.0121096	0.060177	0.270843	4.14088	0.0866419	0.874683	1.13785	0.0466374	0.691622	1.23213	1.37022	0.067158	1.50229	3.25193	0.0735139	1.53234	0.0760714	0.503407	4.33841	0.035372	0.0396531	0.0628765	0.156374	0.0351903	0.212826	0.165905	0.0903879	0.088907	0.175974	7.59339	0.0966968	0.225445	0.211224	0.0205241	0.110792	1.95129	0.039786	0.186595	0.0998109	0.82152	1.4903	0.482341	0.150072	1.15374	1.6976	0.606084	0.0127418	0.0521916	0.0628339	1.09791	0.120442	0.0405186	0.0187666	0.323857	0.150079	0.0982231	0.0569708	5.10556	4.67325	0.101892	4.88368	0.0789143	0.0546143	0.190099	0.380723	0.0369224	0.30468	0.464716	0.379923	1.54894	0.390256	1.03719	0.0168231	0.000500974	4.64089	0.0707777	0.23922	0.0654008	0.0124657	0.433856	6.75653	0.284727	0.00729173	0.0778437	0.0694288	0.0263835	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.7049165	0.262251	0.226382	0.272147	0.23922	1.999135	0.3000539	0.5328442	-2.00898	1.660996	2.758908
60	-16419.8	-16177.4	-242.344	0.05132207	0.101456	0.0849873	0.118807	1.50332	0.0960555	0.14257	0.00491423	2.30048	1.51181	0.0861332	0.142133	0.0530173	0.114648	0.140896	0.838166	0.208035	2.90199	0.197001	0.00934867	0.0334569	0.0742836	0.0566503	0.0111034	1.46666	0.926341	0.271785	0.41499	0.503317	0.0442362	0.0405088	0.0673551	1.31671	0.0214667	0.244595	0.0316575	0.877105	0.139254	0.0130535	0.0584676	0.116176	0.0509797	0.172457	0.183009	0.274579	0.0448284	0.118932	0.0562645	0.0410726	0.011032	0.0548224	0.246744	3.77242	0.0789324	0.796853	2.85841	0.0424876	0.630081	1.12249	1.24829	0.0611822	1.36861	2.96257	0.0669726	1.39599	0.0693025	0.458614	3.95237	0.0322245	0.0361248	0.0572817	0.14246	0.032059	0.193888	0.437857	0.0823451	0.080996	0.160316	6.91772	0.0880927	0.205385	0.192429	0.0186978	0.100933	1.77767	0.0362458	0.169991	0.0909296	0.74842	1.35769	0.439422	0.136719	1.05108	1.54654	0.552154	0.011608	0.0475475	0.0572429	1.00022	0.109725	0.0369132	0.0170967	0.29504	0.136725	0.0894831	0.0519015	4.65126	4.25742	0.0928257	4.44912	0.0718924	0.0497547	0.173184	0.346846	0.033637	0.277569	0.423365	0.346117	1.41111	0.35553	0.944901	0.0153262	0.000456397	4.22794	0.0644799	0.217934	0.0595814	0.0113565	0.395251	6.15532	0.259391	0.00411011	0.044182	0.0619733	0.0441059	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.6523162	0.262251	0.226382	0.272147	0.23922	1.99951	0.3000539	0.8900099	-1.671132	1.763297	3.109218
70	-16465	-16173.2	-291.751	0.05132207	0.101416	0.117621	0.164426	2.08057	0.132939	0.197313	0.00680118	3.18381	2.09232	0.119206	0.196709	0.0733747	0.15867	0.194997	1.16	0.287916	4.01629	0.272645	0.0129383	0.0463037	0.102807	0.0784028	0.0153668	2.02983	1.28204	0.376144	0.574337	0.696579	0.061222	0.0560633	0.0932179	1.8223	0.0297095	0.338514	0.0438133	1.21389	0.192725	0.0180657	0.0809178	0.160785	0.0705548	0.238676	0.253281	0.380011	0.0620415	0.164599	0.0778687	0.0568436	0.0152681	0.075873	0.341487	5.22095	0.333827	1.10283	3.95597	0.0588019	0.872018	1.5535	1.72761	0.0846748	1.89413	4.10013	0.0926886	1.93202	0.0959131	0.634711	5.47	0.044598	0.0499959	0.0792765	0.197161	0.0443689	0.268337	0.605984	0.113964	0.112097	0.221873	9.57397	0.121918	0.284248	0.266318	0.0258774	0.139689	2.46025	0.0501634	0.0311304	0.711463	1.0358	1.87901	0.60815	0.189215	1.45466	2.14038	0.764169	0.0160652	0.0658047	0.0792229	1.38428	0.151857	0.051087	0.0236614	0.408329	0.189224	0.123843	0.0718305	6.43724	5.89217	0.128469	6.15749	0.0994975	0.0688594	0.239682	0.480027	0.0465529	0.384149	0.585928	0.479018	1.95295	0.492046	1.30772	0.632969	0.000631643	5.85138	0.0892387	0.301616	0.0824593	0.0157172	0.547018	8.51883	0.358992	0.00490808	0.0323286	0.0413344	0.0470211	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.910931	0.262251	0.226382	0.272147	0.23922	1.998081	0.3000539	0.6750701	-1.599599	1.553487	2.413321
80	-16440.4	-16173.9	-266.564	0.05132207	0.0721192	0.101217	0.141495	1.79042	0.114399	0.169796	0.0058527	2.7398	1.80053	0.102582	0.169277	0.0631421	0.0291759	0.167803	0.998232	0.247764	3.45619	0.234622	0.011134	0.0398463	0.0884696	0.0674689	0.0132238	1.74676	1.10325	0.323688	0.494241	0.599436	0.0526841	0.0482448	0.080218	1.56816	0.0255663	0.291305	0.0377032	1.04461	0.165848	0.0155463	0.0696332	0.138363	0.0607154	0.205391	0.217959	0.327015	0.0533893	0.141645	0.0670094	0.0489163	0.0131388	0.0652919	0.293864	4.49284	0.287272	0.949029	3.40428	0.0506015	0.750408	1.33685	1.48668	0.0728662	1.62998	3.52833	0.0797624	1.66258	0.0825373	0.546196	4.70716	0.0383785	0.0430236	0.0682208	0.169666	0.0381813	0.139175	0.521475	0.0980706	0.0964639	0.190932	8.23881	0.104916	0.244607	0.229178	0.0222686	0.120209	2.11715	0.0431677	0.0267891	0.612244	0.891347	1.61697	0.523339	0.162828	1.2518	1.66978	0.6576	0.0138248	0.0566277	0.0681746	1.19123	0.13068	0.0439625	0.0203617	0.351385	0.162835	0.106572	0.0618132	5.53952	5.07046	0.110553	5.29878	0.0856218	0.0592564	0.206257	0.413084	0.0400607	0.165406	0.504216	0.412216	1.6806	0.423427	1.12535	0.544696	0.000543556	5.03536	0.0767937	0.259553	0.0709597	0.0135253	0.470732	7.33081	0.308928	0.0068311	0.0859404	0.0483927	0.0238294	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.7802036	0.262251	0.226382	0.272147	0.23922	1.999673	0.3000539	0.9209838	-1.520077	1.695739	2.875529
90	-16379.7	-16175.1	-204.572	0.05132207	0.0699249	0.0641331	0.0896538	1.13444	0.0724854	0.107586	0.00370837	1.73598	1.14084	0.0649978	0.107257	0.0400079	0.0184863	0.106323	0.632497	0.156987	2.1899	0.148661	0.00705469	0.0252473	0.0560558	0.0427495	0.00837883	1.10677	0.699035	0.205094	0.313159	0.379813	0.0333815	0.0305687	0.0508275	0.993615	0.0161992	0.184576	0.0238894	0.66188	0.105084	0.00985039	0.0441208	0.0876689	0.0384703	0.130139	0.138102	0.207202	0.0811676	0.0897484	0.0424583	0.0309942	0.00832499	0.04137	0.186197	1.58708	0.18202	0.60132	2.15701	0.032062	0.475471	0.847053	0.941987	0.0461693	1.03278	2.23561	0.0505388	1.05344	0.052297	0.346079	2.98254	0.0243173	0.0272604	0.0432259	0.107503	0.0241923	0.0881838	0.330415	0.0621392	0.0611212	0.120977	5.22025	0.0664764	0.154987	0.145211	0.0141097	0.0761663	1.34146	0.0273518	0.016974	0.387928	0.564773	1.02454	0.331597	0.10317	0.793162	1.058	0.416666	0.00875962	0.0358803	0.0431966	0.754783	0.0828009	0.0278554	0.0129015	0.222643	0.103175	0.0675257	0.0391659	3.50993	3.21273	0.0700481	3.35739	0.0542514	0.0375459	0.130688	0.261737	0.0253832	0.104804	0.31948	0.261187	1.06485	0.26829	0.71304	0.345129	0.000344406	3.19049	0.0486578	0.164457	0.0449613	0.00856986	0.298264	4.64493	0.195742	0.00452278	0.0050321	0.0407127	0.0569654	0.01539939	0.6999461	0.03592268	0.0764036	0.182231	0.10933	0.126493	0.386687	0.118855	0.4855038	0.262251	0.226382	0.272147	0.23922	2.000647	0.3000539	0.5266698	-2.034068	1.669063	2.785773
