Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-16073.8	-15953.2	-120.585	0.808345	0.0464082	0.0524152	0.154037	0.31862	0.20645	0.153561	0.260691	1.58132	0.3418	0.0656057	0.18317	0.244763	0.0760205	0.366082	0.0985286	0.363766	0.118766	0.318714	0.571375	0.189077	0.0679248	0.407156	0.0912377	0.0857439	0.0762516	0.0508081	0.056109	0.0508594	0.185772	0.194185	0.645495	0.042791	0.0126645	0.0949871	0.102505	0.088793	0.0563597	0.294071	0.0505627	0.318377	0.12552	0.0721477	0.0218506	0.0309418	0.228875	0.0640071	0.0187676	0.014447	0.0530976	0.0344293	0.33845	0.129636	0.0499636	0.0898576	0.161538	0.123594	0.128359	0.0797912	0.251436	0.0353864	0.0925651	0.0387281	0.241869	0.0940605	0.202467	0.752618	1.42724	0.341655	0.934177	0.160459	0.225075	0.0912962	0.0268293	0.087034	0.211212	0.0651558	0.0422925	0.0976058	0.0576402	0.173257	0.0157926	2.34848	0.148252	0.219367	0.0659982	0.0258528	0.126039	0.0531026	0.0868043	0.174315	0.220635	0.0822338	0.0731857	0.118054	0.00533204	0.149616	0.0688378	0.0601976	0.660108	1.03417	0.0107554	0.0743893	0.0944966	0.148709	0.044812	0.126464	0.575988	0.0641413	0.209968	0.383876	0.132507	0.306187	0.0172187	0.29959	0.16339	0.0714274	0.0940914	0.142032	0.419007	0.0908824	0.673296	0.211341	0.0769439	0.0363306	0.0314335	0.049428	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.2093987	0.26312	0.232233	0.273232	0.231415	2.001094	0.7972981	0.2113618	-2.060527	1.006323	1.012686
10	-16080.4	-15952.4	-127.98	0.808345	0.0493098	0.0542363	0.159389	0.32969	0.213623	0.158897	0.269748	1.63626	0.353676	0.0678851	0.189534	0.253267	0.0786617	0.378801	0.101952	0.376405	0.122893	0.329787	0.591227	0.195646	0.0702848	0.421302	0.0944077	0.088723	0.0789009	0.0525734	0.0580584	0.0526265	0.192226	0.200931	0.667922	0.0442777	0.0131045	0.0982873	0.106066	0.091878	0.0583179	0.304288	0.0523194	0.329438	0.129882	0.0746544	0.0372106	0.0320169	0.236827	0.0662309	0.0194197	0.0149489	0.0549424	0.0356255	0.35021	0.13414	0.0516996	0.0929796	0.16715	0.127888	0.0669592	0.0825635	0.169141	0.0366159	0.0957811	0.0400737	0.250272	0.0973285	0.081215	0.778767	1.47683	0.353525	0.966634	0.166034	0.232895	0.0944682	0.0277615	0.0900579	0.21855	0.0674196	0.0437619	0.100997	0.0596429	0.179277	0.0163413	2.43007	0.153403	0.226989	0.0682912	0.026751	0.130418	0.0549476	0.0898203	0.180371	1.0794	0.0850909	0.0757285	0.122156	0.00551729	0.154815	0.0712295	0.0622891	0.683042	1.0701	0.0111291	0.0769739	0.0977798	0.132793	0.046369	0.130857	0.596	0.0663698	0.217264	0.397213	0.137111	0.316825	0.017817	0.309999	0.169067	0.0739091	0.0973605	0.146967	0.433565	0.0940401	0.696689	0.218684	0.0274652	0.0614861	0.0325257	0.0403485	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.2208143	0.26312	0.232233	0.273232	0.231415	1.998382	0.7972981	0.176141	-2.32809	1.087767	1.183238
20	-16068.1	-15954.4	-113.628	0.808345	0.058238	0.0511813	0.150411	0.31112	0.20159	0.149946	0.254554	1.5441	0.333754	0.0640613	0.178858	0.239001	0.0742309	0.0371765	0.0962092	0.355203	0.115971	0.311211	0.557924	0.184626	0.0663258	0.397571	0.0890899	0.0837254	0.0744566	0.049612	0.0547881	0.0496621	0.181398	0.189613	0.630299	0.0417836	0.0123664	0.092751	0.100092	0.0867027	0.055033	0.287148	0.0493724	0.310882	0.122566	0.0704493	0.0351146	0.0302134	0.223487	0.0625003	0.0183258	0.0141069	0.0518476	0.0336188	0.330483	0.126584	0.0487875	0.0877423	0.157735	0.120684	0.0631875	0.0779129	0.0517963	0.0345534	0.090386	0.0378164	0.236175	0.0918462	0.0766403	0.734901	1.39364	0.333612	0.298724	0.156682	0.219777	0.089147	0.0261977	0.0849852	0.20624	0.063622	0.0412969	0.0953081	0.0562833	0.169179	0.0154208	2.29319	0.144762	0.214203	0.0644446	0.0252442	0.123072	0.0518525	0.0847609	0.170211	1.0186	0.0802979	0.0714629	0.115275	0.00520652	0.146094	0.0672173	0.0587805	0.644568	1.00983	0.0105023	0.0726382	0.0922721	0.125313	0.0437571	0.123487	0.562429	0.0626313	0.205026	0.374839	0.129387	0.298979	0.0168134	0.292538	0.159544	0.069746	0.0918764	0.138688	0.409143	0.088743	0.657446	0.206366	0.0725461	0.056968	0.0306936	0.0316649	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.2005137	0.26312	0.232233	0.273232	0.231415	2.001517	0.7972981	0.1633178	-2.341278	1.028806	1.058441
30	-16070.4	-15951.7	-118.717	0.808345	0.0500216	0.513047	0.146757	0.303562	0.196693	0.146304	0.24837	1.50659	0.195802	0.0625052	0.174514	0.233196	0.0724277	0.0362734	0.0938721	0.346574	0.113154	0.303651	0.544372	0.180141	0.0647146	0.387914	0.0869258	0.0816916	0.072648	0.0484069	0.0534572	0.0484558	0.176992	0.185007	0.614988	0.0407687	0.012066	0.090498	0.0976606	0.0845966	0.0536961	0.280173	0.048173	0.30333	0.119588	0.0687379	0.0342616	0.0294795	0.218059	0.0609821	0.0178807	0.0137642	0.0505882	0.0328022	0.322455	0.123509	0.0476024	0.0856109	0.153903	0.117753	0.0616526	0.0760203	0.0505381	0.143858	0.0881904	0.0368978	0.230438	0.0896151	0.0747786	0.717049	1.35979	0.325508	0.291467	0.152876	0.214438	0.0869815	0.0255613	0.0829208	0.20123	0.0620766	0.0402938	0.0929929	0.0549161	0.165069	0.0150462	2.23749	0.141245	0.209	0.196438	0.024631	0.120082	0.050593	0.0827019	0.166077	0.993853	0.0783474	0.0697269	0.112475	0.00508004	0.142546	0.0655845	0.0573526	0.628911	0.985297	0.0102471	0.0708737	0.0900307	0.122269	0.0426942	0.120487	0.548766	0.0611099	0.200045	0.365734	0.126244	0.291716	0.016405	0.285432	0.155668	0.0680518	0.0896446	0.135319	0.399204	0.0865873	0.641476	0.201353	0.364532	0.0251234	0.029948	0.0925662	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.2027471	0.26312	0.232233	0.273232	0.231415	1.997631	0.7972981	0.2262666	-2.081208	1.091024	1.190333
40	-16060.3	-15952.8	-107.462	0.808345	0.0446816	0.486945	0.139291	0.288118	0.186686	0.13886	0.235734	1.42994	0.18584	0.0593251	0.165635	0.221331	0.0687428	0.0344279	0.0890961	0.328941	0.107397	0.288202	0.516675	0.170976	0.0614221	0.368178	0.0825032	0.0775354	0.0689518	0.0459441	0.0507375	0.0459905	0.167987	0.175595	0.583699	0.0386945	0.0114521	0.0858937	0.0926918	0.0802925	0.0509642	0.265918	0.0457221	0.287898	0.113504	0.0652407	0.0325185	0.0279797	0.206964	0.0578795	0.0169709	0.0130639	0.0480144	0.0311333	0.30605	0.117226	0.0451805	0.0812552	0.146073	0.111762	0.0585159	0.0721525	0.0479668	0.136539	0.0837035	0.0350205	0.218714	0.0850558	0.0709741	0.680567	1.29061	0.308947	0.276638	0.145098	0.203528	0.0825561	0.0242608	0.078702	0.190992	0.0589183	0.0382437	0.0882617	0.0521222	0.156671	0.0142807	2.12365	0.134059	0.198367	0.0351898	0.0233778	0.113973	0.0480189	0.0784943	0.157627	0.943289	0.0743613	0.0661794	0.106753	0.00673555	0.135293	0.0622477	0.0544347	0.596913	0.935168	0.00972579	0.0672678	0.0854502	0.116048	0.040522	0.114357	0.520847	0.0580008	0.189867	0.347126	0.119821	0.276875	0.0155703	0.27091	0.147748	0.0645895	0.0850837	0.128435	0.378894	0.082182	0.60884	0.191109	0.345986	0.0279519	0.0284243	0.0607442	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.1910418	0.26312	0.232233	0.273232	0.231415	1.999732	0.7972981	0.1965728	-2.132486	1.005747	1.011528
50	-16062.1	-15954.8	-107.235	0.808345	0.0489115	0.445252	0.127364	0.263449	0.170702	0.126971	0.21555	1.3075	0.169928	0.0542456	0.151453	0.202381	0.062857	0.0314802	0.0814676	0.300777	0.0982011	0.263526	0.472437	0.156337	0.0561631	0.336654	0.0754392	0.0708967	0.0630481	0.0420103	0.0463933	0.0420527	0.153604	0.16056	0.533722	0.0353814	0.0104715	0.0785393	0.0847554	0.0734178	0.0466006	0.24315	0.506721	0.263247	0.103786	0.0596547	0.0297342	0.025584	0.189244	0.0529238	0.0155179	0.0119454	0.0439033	0.0284676	0.279845	0.107189	0.0413121	0.0742981	0.581553	0.102192	0.040539	0.0659747	0.0438598	0.124848	0.0765367	0.032022	0.199987	0.0777732	0.0648972	0.622296	1.1801	0.282495	0.252952	0.132674	0.186102	0.0754876	0.0221836	0.0719634	0.174639	0.0538736	0.0349692	0.0807046	0.0476594	0.143256	0.013058	1.94182	0.122581	0.181382	0.0321768	0.0213762	0.104214	0.0439075	0.0717735	0.144131	0.862523	0.0679944	0.060513	0.0976122	0.00615885	0.123709	0.056918	0.0497739	0.545805	0.855097	0.00889306	0.0615082	0.0781338	0.106112	0.0370525	0.104565	0.476251	0.0530347	0.173611	0.317405	1.24126	0.253168	0.0142372	0.0111546	0.135098	0.0590592	0.0777987	0.402166	0.346452	0.0751454	0.55671	0.174746	0.0708997	0.0490785	0.0259906	0.00639737	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.1891033	0.26312	0.232233	0.273232	0.231415	1.99871	0.7972981	0.1830512	-2.375189	1.163787	1.354399
60	-16049.3	-15948.5	-100.772	0.808345	0.0558738	0.4192	0.119912	0.248034	0.160714	0.119542	0.202938	1.231	0.0251344	0.0510717	0.142592	0.190539	0.0591792	0.0296383	0.076701	0.283179	0.0924554	0.248107	0.444795	0.14719	0.052877	0.316956	0.0710253	0.0667485	0.0593592	0.0395523	0.0436788	0.0395922	0.144617	0.151166	0.502494	0.0333112	0.00985885	0.073944	0.0797964	0.0691221	0.043874	0.228923	0.477073	0.247845	0.0977132	0.0561644	0.0279945	0.0240871	0.178171	0.0498272	0.0146099	0.0112465	0.0413346	0.0277033	0.263472	0.100917	0.0388949	0.0699509	0.547526	0.0962132	0.0381671	0.0621146	0.0412936	0.117543	0.0720586	0.0301484	0.188286	0.0732227	0.0611001	0.585886	1.11106	0.265966	0.238152	0.124912	0.175213	0.0710708	0.0208856	0.0677529	0.164421	0.0507215	0.0329232	0.0759826	0.0448709	0.134875	0.012294	1.82821	0.115409	0.17077	0.0302941	0.0201254	0.0981169	0.0413385	0.0675741	0.135698	0.812057	0.064016	0.0569724	0.091901	0.0057985	0.116471	0.324943	0.0468616	0.51387	0.805066	0.00837273	0.0579094	0.0735622	0.0999035	0.0348846	0.0984473	0.448386	0.0499317	0.163453	0.298834	1.16863	0.238355	0.0134042	0.010502	0.127193	0.0556037	0.0732467	0.378635	0.326182	0.0707487	0.524137	0.16454	0.113761	0.0721014	0.0290568	0.0124713	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.1798738	0.26312	0.232233	0.273232	0.231415	2.000199	0.7972981	0.2054921	-2.284995	1.185451	1.405295
70	-16059	-15947.9	-111.106	0.808345	0.0516127	0.443838	0.12696	0.262612	0.17016	0.126568	0.214866	1.30335	0.0266116	0.0540733	0.150972	0.201738	0.0626573	0.0313802	0.0812088	0.298898	0.0978892	0.262689	0.470936	0.15584	0.0559847	0.335584	0.0751996	0.0706715	0.0628478	0.0418768	0.0462459	0.0419192	0.153116	0.16005	0.532027	0.035269	0.0104383	0.0782899	0.0844862	0.0731846	0.0464526	0.242378	0.505111	0.262411	0.103456	0.205227	0.0296398	0.0255027	0.188643	0.0527557	0.0154686	0.0335019	0.0437639	0.0265599	0.278956	0.106848	0.0378441	0.0740621	0.579706	0.224654	0.0404103	0.0657652	0.0437205	0.124452	0.0762936	0.0319203	0.199352	0.0775261	0.0646911	0.62032	1.17636	0.281597	0.252149	0.132253	0.185511	0.0752478	0.0221131	0.0717348	0.174084	0.0537025	0.0348582	0.0804483	0.047508	0.142801	0.0130165	1.93565	0.122191	0.180806	0.0320746	0.0213083	0.103883	0.043768	0.0715455	0.143673	0.859784	0.0677784	0.0603208	0.0973022	0.00613929	0.123316	0.344041	0.0496158	0.544071	0.852381	0.00886481	0.0613129	0.0778857	0.105775	0.0369348	0.104233	0.474738	0.0528663	0.173059	0.316397	1.23731	0.252364	0.014192	0.0111192	0.134669	0.0588716	0.0775516	0.400889	0.345352	0.0749068	0.554942	0.174406	0.0537034	0.0230446	0.040624	0.0671571	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.1921877	0.26312	0.232233	0.273232	0.231415	2.001112	0.7972981	0.1995349	-2.390461	1.247954	1.55739
80	-16036.2	-15948.4	-87.7856	0.808345	0.0523085	0.406876	0.116387	0.240742	0.155989	0.116027	0.196972	1.19481	0.0243954	0.0495702	0.138399	0.184938	0.0574394	0.0287669	0.074446	0.274006	0.0897373	0.240813	0.0381683	0.142862	0.0513224	0.307638	0.0689372	0.0647862	0.057614	0.0383894	0.0423947	0.0384282	0.140365	0.146722	0.487721	0.0323319	0.009569	0.0717701	0.0774504	0.06709	0.0425841	0.222193	0.463047	0.240558	0.0948404	0.188136	0.0271714	0.0233789	0.172933	0.107922	0.0141804	0.0307119	0.0401193	0.024348	0.0153751	0.09795	0.0346926	0.0678944	0.531429	0.205946	0.037045	0.0602884	0.0400796	0.114088	0.0699401	0.0292621	0.182751	0.07107	0.0593038	0.568661	1.07839	0.258147	0.23115	0.121239	0.170062	0.0689814	0.0202716	0.0657609	0.159587	0.0492303	0.0319553	0.0737487	0.0435517	0.130909	0.0119325	1.77446	0.112016	0.165749	0.0294035	0.0195338	0.0952323	0.0401231	0.0655874	0.131708	0.788183	0.062134	0.0552975	0.0891991	0.00562802	0.113047	0.31539	0.0454839	0.498763	0.781397	0.00812657	0.0562069	0.0713995	0.0969664	0.033859	0.095553	0.0203616	0.0484637	0.158647	0.290048	1.13427	0.231348	0.0130101	0.0101932	0.123454	0.053969	0.0710933	0.367504	0.316592	0.0686687	0.156473	0.159781	0.0589735	0.0449504	0.0403986	0.047106	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.165752	0.26312	0.232233	0.273232	0.231415	1.998953	0.7972981	0.1644031	-2.410612	1.100162	1.210356
90	-16045.9	-15947.6	-98.3261	0.808345	0.0528749	0.444707	0.127208	0.263126	0.170493	0.126816	0.215286	1.3059	0.0266637	0.0541792	0.151268	0.202133	0.06278	0.0314416	0.0813679	0.299483	0.0980809	0.263203	0.0417172	0.156146	0.0560943	0.336242	0.0753469	0.0708099	0.0629709	0.0419588	0.0383495	0.0717937	0.153416	0.160364	0.533069	0.0353381	0.0104587	0.0784432	0.0846517	0.0733279	0.0465436	0.242852	0.5061	0.262925	0.103659	0.205629	0.0296978	0.0255527	0.189012	0.117957	0.0154989	0.0335675	0.0438496	0.0266119	0.0168047	0.107057	0.0379182	0.0742071	0.580841	0.225094	0.0404894	0.065894	0.0438062	0.0558508	0.076443	0.0319828	0.199743	0.077678	0.0648178	0.621534	1.17866	0.282149	0.252642	0.132512	0.185874	0.0753952	0.0221564	0.0718753	0.174425	0.0538077	0.0349264	0.0806058	0.047601	0.143081	0.013042	1.93944	0.122431	0.18116	0.0321374	0.02135	0.104087	0.0438537	0.0716856	0.143954	0.861467	0.0679111	0.060439	0.0974927	0.00615131	0.123558	0.344714	0.049713	0.545137	0.85405	0.0510373	0.061433	0.0780382	0.105982	0.0370071	0.104437	0.0222547	0.0529698	0.173398	0.317016	1.23974	0.252858	0.0142198	0.011141	0.134932	0.0589869	0.0777035	0.401674	0.346028	0.0750535	0.171021	0.174938	0.0275476	0.00839369	0.032629	0.0617685	0.644492	0.2027019	0.1638531	0.0890956	0.165834	0.1022	0.119126	0.408537	0.115208	0.1804669	0.26312	0.232233	0.273232	0.231415	2.000413	0.7972981	0.1504876	-2.432043	1.037466	1.076337
