Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	branch_rates[121]	branch_rates[122]	branch_rates[123]	branch_rates[124]	branch_rates[125]	branch_rates[126]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-15930.3	-16015.8	85.5758	0.009992292	0.0746557	0.0198755	0.0169371	0.0256562	0.0529749	0.0437813	0.0556261	0.0317544	0.0296398	0.0488443	0.0446046	0.0323757	0.0453631	0.0814625	0.056411	0.0180434	0.0646155	0.0964094	0.265728	0.0657052	0.0697093	0.11363	0.0304368	0.0826871	0.0184086	0.0157199	0.00863761	0.0209556	0.0177822	0.026008	0.0401061	0.0399236	0.030969	0.211548	0.0110366	0.0202175	0.108124	0.0171596	0.104863	0.0240697	0.0134645	0.0298065	0.0194635	0.0183836	0.00892651	0.0267367	0.0265113	0.0257406	0.00636296	0.0359728	0.0543182	0.0248052	0.0203162	0.0478078	0.0158817	0.0186873	0.0203188	0.0259289	0.0175593	0.0825648	0.0736656	0.0214276	0.0323731	0.0256708	0.0153401	0.0251813	0.0439894	0.038312	0.0435941	0.0300234	0.0181659	0.0260113	0.0265642	0.0264484	0.0403428	0.0462348	0.0365935	0.0304775	0.166188	0.0272066	0.0540247	0.0758995	0.0446028	0.0783719	0.0715983	0.0248103	0.08214	0.0285747	0.0307476	0.0130383	0.084146	0.0317628	0.0442802	0.0376622	0.12184	0.0260985	0.0212947	0.0589071	0.0372629	0.0145697	0.013186	0.0212458	0.0181926	0.168952	0.114436	0.0839648	0.0121952	0.0242383	0.0750622	0.0513009	0.0482288	0.00818563	0.0389975	0.00594756	0.0110722	0.0158941	0.0205978	0.0290893	0.0435727	0.0135431	0.417686	0.015784	0.116092	0.0493061	0.021551	0.0353194	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.04738966	0.272668	0.25774	0.213845	0.255747	1.999403	0.4327367	0.0487275	-3.37355	0.8390931	0.7040772
10	-15932.1	-16017.1	84.9914	0.009992292	0.0714578	0.0191223	0.0162953	0.024684	0.0509675	0.0421222	0.0535183	0.0305511	0.0285167	0.0469934	0.0429144	0.0311489	0.0436442	0.0783756	0.0542733	0.0173596	0.0621669	0.092756	0.255659	0.0632154	0.0670677	0.109324	0.0292835	0.0795537	0.0177111	0.0151242	0.00831029	0.0201615	0.0171084	0.0250224	0.0385863	0.0384108	0.0297954	0.203532	0.0106184	0.0194514	0.0985389	0.0165093	0.100889	0.0231576	0.0129543	0.028677	0.018726	0.017687	0.00858825	0.0257235	0.0255067	0.00640154	0.00612184	0.0346096	0.0522599	0.0238652	0.0195463	0.0459961	0.0152799	0.0179792	0.0195488	0.0249463	0.0168939	0.079436	0.0352535	0.0206157	0.0311463	0.0246981	0.0147588	0.0242271	0.0423225	0.0368602	0.0419421	0.0288857	0.0174775	0.0250256	0.0255576	0.0254462	0.038814	0.0444827	0.0352068	0.0293226	0.159891	0.0261757	0.0519775	0.0730233	0.0429126	0.0754021	0.0688851	0.0238702	0.0790274	0.0274919	0.0295824	0.0125442	0.0809574	0.0305592	0.0426022	0.019771	0.117223	0.0251095	0.0204877	0.0566749	0.0358509	0.0140176	0.0126863	0.0204407	0.017496	0.162549	0.1101	0.080783	0.0117331	0.0233198	0.0722178	0.0493569	0.0464012	0.00787518	0.0986481	0.00572218	0.0106527	0.015292	0.0198173	0.0288461	0.0419216	0.00806011	0.316532	0.0581384	0.0856339	0.0474377	0.0207343	0.240791	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.04653898	0.272668	0.25774	0.213845	0.255747	2.000741	0.4327367	0.04111786	-3.495262	0.7796783	0.6078983
20	-15931.6	-16023.5	91.9223	0.009992292	0.0707821	0.0185627	0.0158184	0.0239616	0.0494759	0.0408895	0.0519521	0.0296571	0.0276821	0.0456182	0.0416585	0.0302373	0.0423669	0.076082	0.0526851	0.0168516	0.0603476	0.0270479	0.248177	0.0227378	0.065105	0.106125	0.0284265	0.0772256	0.0171928	0.0146816	0.0080671	0.0195715	0.0166077	0.0242901	0.0374571	0.0372867	0.0289235	0.197575	0.0103076	0.0188822	0.0956552	0.0160262	0.0979364	0.0224799	0.0125752	0.0278377	0.0181779	0.0171694	0.0159964	0.0249707	0.0247602	0.0062142	0.00594269	0.0335968	0.0507305	0.0231668	0.0189743	0.0446501	0.0148327	0.017453	0.0189767	0.0242163	0.0163996	0.0771114	0.0342218	0.0200123	0.0302348	0.0239753	0.0143269	0.0235181	0.0410839	0.0357815	0.0407147	0.0280404	0.0169661	0.0242932	0.0248097	0.0247015	0.0376782	0.043181	0.0341765	0.0271781	0.155212	0.0254097	0.0504564	0.0708863	0.0416568	0.0731955	0.0668692	0.0231716	0.0767147	0.0266874	0.0287167	0.0413388	0.0785882	0.0296649	0.0413555	0.0191924	0.113793	0.0243747	0.0198882	0.0550164	0.0310025	0.0136074	0.0123151	0.0198426	0.0169849	0.157793	0.106878	0.0357483	0.0113897	0.0226374	0.0701043	0.0479125	0.0450433	0.00764469	0.0957378	0.00555473	0.0103409	0.0148443	0.0192373	0.0282939	0.0406948	0.017728	0.333114	0.056437	0.114811	0.0460494	0.0201275	0.0375677	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.04327532	0.272668	0.25774	0.213845	0.255747	1.998234	0.4327367	0.05415097	-3.320136	0.8990628	0.8083139
30	-15955.7	-16027	71.3755	0.009992292	0.0799369	0.0230577	0.0284037	0.0297639	0.0614565	0.0507909	0.0645322	0.0368385	0.0343853	0.0566646	0.0517461	0.0375593	0.0526261	0.0945052	0.0654427	0.0209322	0.0749608	0.0335976	0.308273	0.0282438	0.0808702	0.131823	0.03531	0.0959258	0.053065	0.0182367	0.0298987	0.0243107	0.0206293	0.030172	0.0465273	0.0463156	0.0359273	0.245418	0.0128036	0.0234545	0.118818	0.0199069	0.121652	0.0279234	0.0156203	0.0345786	0.0225797	0.021327	0.01987	0.0310174	0.0307559	0.00771897	0.00738171	0.0417323	0.0630149	0.0287767	0.0235689	0.0554621	0.0184244	0.0216793	0.0235719	0.0300802	0.0203707	0.0957839	0.0425086	0.0248583	0.0375562	0.0297809	0.0177962	0.029213	0.0510324	0.044446	0.0505738	0.0348304	0.0210744	0.0301758	0.0308173	0.030683	0.0468019	0.0536372	0.0424523	0.0814064	0.192796	0.0315626	0.0626744	0.0880514	0.051744	0.0909198	0.0830616	0.0287826	0.0952911	0.0331497	0.0356705	0.051349	0.0976184	0.0368483	0.0513697	0.0238399	0.141347	0.030277	0.0247041	0.0683385	0.0385097	0.0169024	0.0152972	0.0246474	0.0210859	0.196002	0.132758	0.0444048	0.0141478	0.028119	0.0870801	0.0595145	0.0559505	0.00949567	0.119413	0.00762375	0.012845	0.0184385	0.0238956	0.035001	0.050549	0.00773747	0.512171	0.0701033	0.0285816	0.0572003	0.0250014	0.0428346	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.05428866	0.272668	0.25774	0.213845	0.255747	1.999675	0.4327367	0.05093583	-3.219937	0.6967754	0.485496
40	-15959.8	-16026.6	66.7784	0.009992292	0.0693243	0.0245387	0.0302281	0.0316756	0.0654039	0.0540532	0.0686771	0.0392046	0.0365939	0.0603042	0.0550697	0.0399717	0.0560062	0.100575	0.0696461	0.0222767	0.0797755	0.0357556	0.328073	0.0300579	0.0860644	0.14029	0.0375779	0.102087	0.0564734	0.019408	0.0318191	0.0258722	0.0217382	0.0321099	0.0495157	0.0492905	0.0382349	0.261181	0.013626	0.024961	0.12645	0.0211855	0.129465	0.0297169	0.0166236	0.0367996	0.02403	0.0226968	0.0211462	0.0330096	0.0327314	0.00821476	0.00785584	0.0444127	0.0670623	0.030625	0.0250827	0.0590244	0.0196078	0.0230718	0.025086	0.0320123	0.0216791	0.101936	0.0452389	0.026455	0.0399684	0.0316937	0.0189392	0.0310894	0.0543102	0.0473008	0.0538221	0.0370675	0.022428	0.032114	0.0327967	0.0326537	0.049808	0.0570823	0.045179	0.0866351	0.205179	0.0335899	0.0667	0.093707	0.0550675	0.0967595	0.0883966	0.0306313	0.101412	0.0352789	0.0379616	0.0546471	0.0255489	0.039215	0.0546692	0.0253711	0.150426	0.0322217	0.0262908	0.0727279	0.0409832	0.0179881	0.0162797	0.0262305	0.0224503	0.208591	0.141285	0.0472569	0.0150565	0.0299251	0.0926732	0.0633371	0.0595442	0.0101064	0.127256	0.00811342	0.01367	0.0196235	0.0254304	0.0380225	0.0537957	0.0114268	0.311093	0.074606	0.0619339	0.0608743	0.0266073	0.0500766	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.05548894	0.272668	0.25774	0.213845	0.255747	1.998282	0.4327367	0.0566242	-3.170056	0.7729648	0.5974746
50	-15960.2	-16026.3	66.089	0.009992292	0.0606075	0.0259166	0.0319255	0.0334543	0.0690764	0.0570884	0.0725335	0.0414061	0.0386487	0.0636904	0.058162	0.0422162	0.0591511	0.106223	0.0735569	0.0235276	0.0842551	0.0377633	0.346495	0.0317457	0.0908971	0.148167	0.039688	0.10782	0.0596445	0.0204978	0.0336058	0.027325	0.0229588	0.033913	0.0522961	0.0520583	0.0403819	0.275847	0.0143911	0.0263626	0.13355	0.0128715	0.136735	0.0313855	0.017557	0.038866	0.0253794	0.0239713	0.0223336	0.0348632	0.0345693	0.00867603	0.00829696	0.0469066	0.070828	0.0323446	0.0264912	0.0623388	0.0207089	0.0243673	0.0264946	0.0338098	0.0262518	0.10766	0.0477792	0.0279405	0.0422128	0.0334734	0.0200027	0.0328351	0.0573598	0.0499568	0.0568443	0.0391489	0.0236874	0.0339173	0.0346383	0.0344873	0.0526048	0.0602876	0.0477159	0.0914999	0.0740354	0.035476	0.0704454	0.106608	0.0581596	0.102193	0.0933603	0.0323513	0.107106	0.0372599	0.0400932	0.0577157	0.0269835	0.041417	0.0328086	0.0267957	0.158873	0.0340311	0.0277671	0.0768118	0.0432845	0.0189981	0.0171939	0.0277034	0.0237243	0.220304	0.149219	0.0499105	0.0159019	0.0316055	0.097877	0.0668937	0.0628877	0.0106731	0.136144	0.00856901	0.0144376	0.0207248	0.0268584	0.0402694	0.0568165	0.0108068	0.210841	0.0787953	0.0711451	0.0642925	0.0281013	0.0532438	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.05630524	0.272668	0.25774	0.213845	0.255747	2.000009	0.4327367	0.05853663	-3.137708	0.7740871	0.5992108
60	-15965.5	-16025.5	59.9443	0.009992292	0.0850187	0.0274481	0.0338121	0.0354312	0.0731585	0.060462	0.0768198	0.0438529	0.0409327	0.0674541	0.0615991	0.044711	0.0626466	0.1125	0.0779037	0.0249179	0.0892341	0.0399949	0.366971	0.0336217	0.0962687	0.156923	0.0327723	0.114191	0.0631691	0.0217092	0.0355917	0.0289397	0.0243156	0.035917	0.0553866	0.0551346	0.0427682	0.292148	0.0152416	0.0279204	0.141442	0.0136322	0.144815	0.0332403	0.0181801	0.0411628	0.0268791	0.0253879	0.0236534	0.0124821	0.0366121	0.00918874	0.00878726	0.0496785	0.0750136	0.034256	0.0280567	0.0660226	0.0219326	0.0258073	0.0280603	0.0358078	0.0278031	0.114022	0.0506027	0.0295916	0.0447073	0.0354515	0.0211847	0.0347755	0.0607494	0.052909	0.0602035	0.0414624	0.0250872	0.0359216	0.0706616	0.0365253	0.0557135	0.0638503	0.0505357	0.096907	0.0784105	0.0375724	0.0746083	0.112908	0.0615966	0.108232	0.0988774	0.0342631	0.113436	0.0394618	0.0225717	0.0611264	0.0285781	0.0438646	0.0347474	0.0283792	0.168261	0.0360421	0.029408	0.0813509	0.0458424	0.0201208	0.0182099	0.0293405	0.0251384	0.233323	0.0217437	0.0528599	0.0168416	0.0334732	0.103661	0.0708467	0.0666041	0.0113036	0.14351	0.00907539	0.0152908	0.0219499	0.0284456	0.0427857	0.060174	0.0118854	0.296316	0.0834516	0.0187673	0.0680918	0.0297619	0.0724929	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.05881472	0.272668	0.25774	0.213845	0.255747	1.998718	0.4327367	0.05813416	-3.117251	0.7379014	0.5444985
70	-15905.6	-16020.3	114.675	0.009992292	0.073414	0.0173416	0.0213623	0.0223853	0.0462211	0.0381996	0.0485344	0.0277061	0.025861	0.0426172	0.038918	0.0282482	0.0395798	0.0710769	0.0492192	0.015743	0.0563777	0.0252686	0.231851	0.021242	0.060822	0.0991432	0.0207053	0.0721453	0.0399099	0.0137157	0.0224867	0.018284	0.0153624	0.0226922	0.0349929	0.0348338	0.0270207	0.184578	0.00962955	0.01764	0.0893625	0.00861274	0.0914937	0.021001	0.0114861	0.0260064	0.0169821	0.0160399	0.0149441	0.00788614	0.0231314	0.0058054	0.00555175	0.0313866	0.0473932	0.0216428	0.0177261	0.0417128	0.0138569	0.0163049	0.0177283	0.0226232	0.0175659	0.0720386	0.0319705	0.0186958	0.0282458	0.0223981	0.0133844	0.021971	0.0383812	0.0334276	0.0380363	0.0261957	0.0158499	0.0226951	0.0446436	0.0230765	0.0351995	0.0403403	0.0319282	0.0612254	0.0495393	0.0237381	0.0471371	0.0713344	0.0389164	0.0683803	0.0624702	0.0216473	0.071668	0.0249317	0.0142607	0.0386193	0.0180555	0.0277134	0.0219532	0.0179298	0.106307	0.0227712	0.0185798	0.0513971	0.028963	0.0127122	0.0115049	0.0185372	0.0158801	0.147412	0.0137376	0.0333966	0.0106405	0.0211482	0.0654925	0.0447606	0.0420801	0.00714203	0.0897768	0.00573378	0.00966065	0.0138676	0.0179718	0.0263889	0.0380176	0.0109499	0.255787	0.0105259	0.0219194	0.0430201	0.0188034	0.0644803	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.03776775	0.272668	0.25774	0.213845	0.255747	1.999938	0.4327367	0.03662566	-3.511643	0.6397449	0.4092735
80	-15902.8	-16017.3	114.461	0.009992292	0.0822368	0.0168942	0.0673457	0.0218078	0.0450289	0.0372142	0.0472824	0.0269914	0.025194	0.0415179	0.0379141	0.0275195	0.0385588	0.0692434	0.0479495	0.0153369	0.0549234	0.0246168	0.22587	0.0206941	0.0592531	0.0965858	0.0201712	0.0702843	0.0342574	0.0133619	0.0219066	0.0178123	0.0149662	0.0221069	0.0340903	0.0339352	0.0263237	0.179817	0.00938115	0.017185	0.0870574	0.00839057	0.0891336	0.0204593	0.0111898	0.0253356	0.016544	0.0156262	0.0145586	0.0445803	0.0225347	0.00565565	0.00540854	0.030577	0.0461707	0.0210845	0.0172688	0.0406368	0.0134995	0.0158843	0.017271	0.0220396	0.0171128	0.0701803	0.0311458	0.0182136	0.0275172	0.0218203	0.0130391	0.0214042	0.0373911	0.0325653	0.0370551	0.02552	0.0154411	0.0221097	0.0434921	0.0224812	0.0342915	0.0392997	0.0311046	0.059646	0.0482615	0.0231257	0.0459212	0.0694943	0.0379125	0.0666164	0.0608588	0.0210889	0.0698193	0.0242886	0.0138928	0.0376231	0.0175898	0.0269985	0.0213869	0.0174673	0.103565	0.0221838	0.0181005	0.0500713	0.0282159	0.0123843	0.0112082	0.018059	0.0154757	0.14361	0.0133832	0.0325351	0.010366	0.0206027	0.0638031	0.043606	0.0409946	0.00695747	0.0872403	0.00558588	0.00941145	0.0135096	0.0175082	0.0473187	0.037037	0.0118772	0.211918	0.0102544	0.0953087	0.0419104	0.0183184	0.0250611	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.03767492	0.272668	0.25774	0.213845	0.255747	1.999417	0.4327367	0.04153494	-3.514748	0.8167341	0.6670546
90	-15873.6	-16011.8	138.237	0.009992292	0.0665587	0.0141644	0.0564636	0.018284	0.0377528	0.0312009	0.0396423	0.02263	0.021123	0.0348092	0.0317877	0.0230727	0.0323283	0.0580547	0.0402016	0.0128587	0.0460486	0.0206391	0.189373	0.0173502	0.0496787	0.0753697	0.0169119	0.0589274	0.0287219	0.0112028	0.0183668	0.0149341	0.0125479	0.0185347	0.0285818	0.0284518	0.0220702	0.150761	0.00786529	0.0144081	0.0729902	0.00703478	0.0747309	0.0171534	0.00938172	0.0212417	0.0138708	0.0131012	0.0122061	0.0373768	0.0188934	0.00474178	0.0045346	0.0256362	0.0387102	0.0176776	0.0144784	0.0340705	0.0113182	0.0133176	0.0144803	0.0184783	0.0143476	0.0588402	0.0261131	0.0152705	0.0230708	0.0182945	0.0109322	0.0179456	0.0313493	0.0273033	0.0310676	0.0213964	0.012946	0.0185371	0.0364644	0.0188486	0.0287505	0.0329494	0.0260785	0.0500081	0.0404631	0.019389	0.038501	0.0582651	0.0317864	0.0558522	0.0510249	0.0176812	0.0585375	0.0203639	0.011648	0.0315438	0.0147475	0.022636	0.0179311	0.0146449	0.08683	0.0185992	0.0151758	0.0419805	0.0236566	0.0103832	0.00939709	0.015141	0.0129744	0.120404	0.0112207	0.0272779	0.00869099	0.0172736	0.0534935	0.0365599	0.0343705	0.00583333	0.0731231	0.0250742	0.0078907	0.0113268	0.0146791	0.0394856	0.0310523	0.0142311	0.125891	0.0085974	0.0990864	0.0351383	0.0153584	0.0400826	0.004324031	0.5672633	0.005668261	0.0952581	0.207359	0.110868	0.135446	0.321643	0.129425	0.0316104	0.272668	0.25774	0.213845	0.255747	1.997968	0.4327367	0.03127931	-3.72655	0.7235349	0.5235027
