Filename	Frame	Time (mins)	Period	Period time (mins)	X (mm)	Y (mm)	Z (mm)	sX (mm)	sY (mm)	sZ (mm)	RMS (mm)	Range (mm)	Direction (deg)	OpCode	TapeReader	Number	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment
A001C0332_20210921222049_0001.MOV	3540	0.4922			-45.928	9.494	-544.071	0.089	0.079	0.531	0.184	546.088	4.887	1	1	0														0	J	Passing	
A001C0332_20210921222049_0001.MOV	3560	0.4949			-45.704	11.143	-544.526	0.089	0.08	0.532	0.154	546.554	4.89	1	1	0														19	AD	Passing	
A001C0332_20210921222049_0001.MOV	3580	0.4977			-43.188	15.927	-546.598	0.088	0.081	0.536	0.3	548.532	4.743	1	1	0														19	AD	Passing	
A001C0332_20210921222049_0001.MOV	3600	0.5005			-39.75	22.494	-546.001	0.087	0.082	0.535	0.366	547.908	4.678	1	1	0														19	AD	Passing	
A001C0332_20210921222049_0001.MOV	3620	0.5033			-37.543	28.403	-549.018	0.087	0.084	0.54	0.102	551.033	4.772	1	1	0														19	AD	Passing	
A001C0332_20210921222049_0001.MOV	3640	0.5061			-34.746	33.455	-552.661	0.086	0.087	0.548	0.177	554.762	4.839	1	1	0														19	AD	Passing	
A001C0332_20210921222049_0001.MOV	3540	0.4922			7.964	-60.072	-426.943	0.063	0.076	0.333	0.015	431.222	8.295	1	1	1														1	F	Passing	
A001C0332_20210921222049_0001.MOV	3560	0.4949			4.435	-60.969	-428.351	0.063	0.077	0.335	0.015	432.691	8.34	1	1	1														1	F	Passing	
A001C0332_20210921222049_0001.MOV	3580	0.4977			3.375	-58.519	-429.707	0.064	0.076	0.337	0.099	433.686	7.986	1	1	1														1	F	Passing	
A001C0332_20210921222049_0001.MOV	3600	0.5005			2.883	-54.857	-431.344	0.064	0.075	0.339	0.087	434.828	7.476	1	1	1														1	F	Passing	
A001C0332_20210921222049_0001.MOV	3620	0.5033			1.227	-52.167	-433.464	0.064	0.074	0.342	0.016	436.594	7.083	1	1	1														1	F	Passing	
A001C0332_20210921222049_0001.MOV	3640	0.5061			-0.83	-50.09	-437.456	0.065	0.074	0.348	0.114	440.315	6.751	1	1	1														1	F	Passing	
