state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	544.946	1017.345	600.906	3	0	0.000	0.849	39.376	-87.70	-286.56	-0.30	0.07
200	531.025	849.589	531.025	3	0	0.000	0.904	38.924	-89.57	-285.15	1.26	-0.69
300	301.724	998.617	301.724	3	0	0.000	0.904	38.924	-91.52	-281.21	0.70	-0.69
400	431.118	1060.578	431.118	3	0	0.000	0.862	38.830	-88.21	-284.96	1.26	0.69
500	320.969	1097.251	320.969	3	0	0.000	0.160	32.800	-87.97	-283.85	0.00	0.00
600	236.523	1953.156	430.114	3	0	0.000	0.663	33.067	-82.71	-282.96	0.00	0.00
700	244.734	1262.213	244.734	3	0	0.000	1.610	38.031	-92.99	-277.02	1.02	0.69
800	238.725	1556.609	358.616	3	0	0.000	0.892	38.358	-86.71	-278.34	-7.13	0.69
900	360.342	2060.732	360.342	3	0	0.000	0.703	35.114	-84.07	-281.96	0.00	0.00
1000	318.765	2410.080	380.073	3	0	0.000	0.177	29.340	-83.73	-281.98	-3.79	0.69
1100	233.394	1970.865	356.825	3	0	0.000	0.208	29.340	-83.38	-279.39	1.61	0.69
1200	412.512	2612.980	473.506	3	0	0.000	0.459	28.900	-80.68	-285.34	2.14	0.69
1300	131.016	1859.268	320.375	3	0	0.000	0.070	40.399	-81.35	-278.42	1.97	0.00
1400	151.716	1882.974	157.578	3	0	0.000	0.064	26.238	-80.74	-278.93	0.00	0.00
1500	104.564	3077.158	125.671	3	0	0.000	0.048	19.363	-76.92	-279.00	0.00	0.00
1600	68.866	2387.079	90.960	3	0	0.000	0.228	19.662	-76.81	-278.97	-0.00	0.00
1700	47.618	3144.832	56.510	3	0	0.000	0.432	28.508	-73.65	-279.42	-2.55	0.00
1800	41.282	2714.025	62.932	3	0	0.000	0.425	28.003	-75.02	-278.53	2.10	-0.69
1900	113.154	3161.504	128.571	3	0	0.000	0.169	48.578	-77.54	-280.59	0.00	0.00
2000	87.910	3317.142	114.007	3	0	0.000	0.479	62.435	-76.90	-283.59	0.01	0.00
2100	25.166	2159.879	308.288	3	0	0.000	0.733	53.126	-84.42	-275.85	3.97	-0.46
2200	17.206	2000.004	229.824	3	0	0.000	0.533	39.139	-78.57	-277.13	-0.00	0.00
2300	15.188	2902.933	316.137	3	0	0.000	0.203	38.797	-71.65	-280.05	-2.11	0.69
2400	15.906	4034.025	35.599	3	0	0.000	0.222	31.302	-67.39	-283.91	3.23	-0.69
2500	7.165	3561.964	10.878	3	0	0.000	0.070	26.899	-64.90	-279.44	0.00	0.00
2600	5.259	3889.821	6.514	3	0	0.000	0.069	27.140	-63.42	-279.15	0.92	-0.69
2700	2.612	3890.779	22.917	3	0	0.000	0.034	27.086	-65.00	-277.91	-0.01	0.00
2800	2.708	2315.240	21.403	3	0	0.000	0.034	27.408	-65.45	-278.47	0.00	0.00
2900	0.108	2539.996	25.419	3	0	0.000	0.045	27.723	-58.71	-279.03	-5.03	0.69
3000	0.008	3845.147	63.856	3	0	0.000	0.028	27.723	-46.38	-284.89	3.85	0.69
3100	0.007	3001.908	74.334	3	0	0.000	0.026	26.258	-52.19	-277.05	1.92	-0.69
3200	0.006	4737.070	236.394	3	0	0.000	0.017	18.340	-45.43	-287.40	-0.62	0.47
3300	0.002	3441.926	135.009	3	0	0.000	0.012	18.148	-45.32	-280.82	-0.01	0.00
3400	0.001	2593.624	67.176	3	0	0.000	0.006	18.001	-44.01	-278.28	-0.00	0.00
3500	0.001	2383.436	34.233	3	0	0.000	0.004	28.434	-41.36	-281.46	-28.60	-0.69
3600	0.001	2141.578	34.414	3	0	0.000	0.004	28.022	-44.29	-279.75	-0.00	0.00
3700	0.001	2099.287	36.215	3	0	0.000	0.003	27.414	-45.85	-275.01	-0.02	0.09
3800	0.002	3619.316	47.392	3	0	0.000	0.003	27.236	-41.40	-280.30	-1.32	0.00
3900	0.002	4441.531	295.901	3	0	0.000	0.002	26.878	-44.96	-281.31	-8.29	0.69
4000	0.001	2525.079	120.098	3	0	0.000	0.002	26.298	-42.26	-280.76	-0.52	0.48
4100	0.001	2525.131	119.707	3	0	0.000	0.003	19.437	-43.15	-279.37	0.01	0.00
4200	0.000	2525.131	144.878	3	0	0.000	0.004	19.616	-41.92	-277.92	0.00	0.00
4300	0.000	2505.839	132.411	3	0	0.000	0.004	20.914	-44.22	-277.07	-0.01	0.00
4400	0.000	2336.510	63.266	3	0	0.000	0.004	17.013	-41.85	-277.22	0.00	0.00
4500	0.000	2658.898	28.248	3	0	0.000	0.004	16.961	-42.90	-276.04	1.92	-0.69
4600	0.002	3544.734	22.952	3	0	0.000	0.005	16.896	-42.46	-278.20	2.05	-0.69
4700	0.001	2286.123	14.956	3	0	0.000	0.004	16.397	-43.84	-276.86	-27.43	-0.69
4800	0.000	2203.627	18.568	3	0	0.000	0.005	25.525	-41.07	-278.98	-0.00	0.00
4900	0.001	2519.395	33.469	3	0	0.000	0.005	21.473	-45.52	-274.95	-0.00	0.00
5000	0.000	1959.262	34.725	3	0	0.000	0.006	21.648	-48.64	-273.82	1.41	0.00
5100	0.000	4565.953	19.498	3	0	0.000	0.006	21.648	-34.70	-282.61	4.57	0.69
5200	0.000	2458.451	25.339	3	0	0.000	0.006	18.334	-40.16	-276.85	2.30	-0.69
5300	0.000	2573.512	25.882	3	0	0.000	0.008	18.502	-39.73	-279.08	2.28	0.00
5400	0.000	2298.325	14.305	3	0	0.000	0.008	28.139	-41.86	-276.33	0.00	0.00
5500	0.000	2989.448	13.207	3	0	0.000	0.001	30.146	-30.58	-277.17	0.00	0.00
5600	0.000	2871.481	6.614	3	0	0.000	0.001	29.864	-28.41	-278.83	0.37	0.00
5700	0.000	2750.384	6.159	3	0	0.000	0.001	24.378	-27.83	-278.21	-0.01	0.00
5800	0.000	3140.136	5.569	3	0	0.000	0.001	24.526	-29.52	-277.33	0.00	0.00
5900	0.000	2346.288	4.674	3	0	0.000	0.001	32.592	-34.57	-274.43	-14.05	0.69
6000	0.000	2502.327	2.914	3	0	0.000	0.001	32.759	-30.57	-275.54	-0.00	0.00
6100	0.000	2797.286	2.107	3	0	0.000	0.001	44.876	-28.41	-277.15	3.48	0.00
6200	0.000	3392.439	0.509	3	0	0.000	0.001	44.876	-32.93	-275.36	3.39	0.69
6300	0.000	2606.515	0.175	3	0	0.000	0.001	29.631	-26.27	-275.18	0.00	0.00
6400	0.000	2369.561	0.128	3	0	0.000	0.001	25.273	-22.18	-276.97	0.00	0.00
6500	0.000	2806.679	0.024	3	0	0.000	0.000	25.508	-17.73	-276.98	2.18	-0.69
6600	0.000	2699.010	0.013	3	0	0.000	0.000	26.252	-17.44	-276.80	2.70	0.69
6700	0.000	2760.491	0.016	3	0	0.000	0.001	24.337	-15.93	-278.54	2.69	-0.69
6800	0.000	3256.992	0.026	3	0	0.000	0.000	16.436	-15.47	-277.67	3.26	0.69
6900	0.000	3404.657	0.009	3	0	0.000	0.000	12.005	-14.51	-278.43	-0.00	0.00
7000	0.000	2942.961	0.005	3	0	0.000	0.000	11.523	-13.56	-279.46	0.00	0.00
7100	0.000	3157.342	0.003	3	0	0.000	0.000	11.562	-12.08	-282.31	0.00	0.00
7200	0.000	1941.839	0.001	3	0	0.000	0.000	12.348	-17.58	-275.93	1.94	0.69
7300	0.000	2632.477	0.001	3	0	0.000	0.000	13.267	-12.28	-278.77	-0.00	0.35
7400	0.000	3194.210	0.002	3	0	0.000	0.000	14.143	-9.18	-281.80	-38.33	-0.69
7500	0.000	3626.639	0.001	3	0	0.000	0.000	14.167	-11.90	-277.45	-1.77	0.28
7600	0.000	3620.496	0.001	3	0	0.000	0.000	13.970	-11.50	-277.43	-0.00	0.00
7700	0.000	2955.076	0.001	3	0	0.000	0.000	14.462	-12.28	-276.44	0.16	-0.03
7800	0.000	2829.496	0.000	3	0	0.000	0.000	14.613	-11.83	-275.81	-0.01	0.00
7900	0.000	3420.902	0.001	3	0	0.000	0.000	14.432	-9.96	-277.88	0.00	0.00
8000	0.000	2628.291	0.000	3	0	0.000	0.000	13.919	-11.38	-277.11	-31.54	-0.69
8100	0.000	3291.698	0.000	3	0	0.000	0.000	14.593	-6.71	-279.67	-19.75	0.69
8200	0.000	2246.467	0.000	3	0	0.000	0.000	14.483	-10.16	-275.84	-26.96	-0.69
8300	0.000	2396.894	0.000	3	0	0.000	0.000	27.063	-14.78	-274.11	-0.00	0.00
8400	0.000	4115.920	0.001	3	0	0.000	0.000	27.336	-9.66	-279.42	0.00	0.00
8500	0.000	4156.204	0.000	3	0	0.000	0.001	26.476	-11.21	-279.07	-1.00	0.69
8600	0.000	3478.880	0.000	3	0	0.000	0.001	26.836	-11.81	-276.68	-0.00	0.00
8700	0.000	4132.040	0.000	3	0	0.000	0.001	24.277	-7.99	-281.20	-49.58	-0.69
8800	0.000	2777.556	0.000	3	0	0.000	0.000	40.567	-8.52	-280.62	3.44	0.00
8900	0.000	2290.852	0.000	3	0	0.000	0.000	40.140	-7.46	-277.76	0.00	0.00
9000	0.000	1924.248	0.000	3	0	0.000	0.000	40.060	-9.73	-276.64	-8.50	0.69
9100	0.000	1975.442	0.000	3	0	0.000	0.000	28.528	-6.46	-276.96	-0.00	0.00
9200	0.000	2414.284	0.000	3	0	0.000	0.000	20.855	-6.03	-279.76	3.27	-0.69
9300	0.000	1937.675	0.000	3	0	0.000	0.000	27.854	-14.46	-273.85	6.02	0.00
9400	0.000	2042.737	0.000	3	0	0.000	0.000	19.642	-9.74	-276.42	-4.09	0.69
9500	0.000	3470.598	0.000	3	0	0.000	0.000	19.492	-3.44	-283.50	-12.27	0.69
9600	0.000	2474.310	0.000	3	0	0.000	0.000	18.653	-7.35	-277.99	-2.76	0.00
9700	0.000	2342.879	0.000	3	0	0.000	0.000	18.859	-9.71	-275.58	1.02	-0.69
9800	0.000	2060.008	0.000	3	0	0.000	0.000	18.416	-7.87	-276.23	-0.00	0.17
9900	0.000	2375.694	0.000	3	0	0.000	0.000	24.010	-5.28	-276.22	-14.25	0.69
10000	0.000	2749.434	0.000	3	0	0.000	0.000	38.412	-4.59	-277.15	4.74	0.00
