state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	13.744	1380.156	556.751	5	0	0.000	0.065	31.690	-96.35	-288.65	0.00	-7.08
200	17.688	1840.655	419.360	8	0	0.000	0.438	21.502	-82.21	-293.27	1.23	0.00
300	52.255	1269.252	373.236	4	0	0.000	0.033	22.136	-84.62	-291.40	-0.05	0.19
400	17.604	3527.831	376.791	10	0	0.000	0.776	19.809	-77.96	-301.83	-0.00	0.00
500	11.920	2846.569	340.763	8	0	0.000	0.358	19.168	-81.16	-293.65	0.08	-0.69
600	161.211	3177.345	503.951	7	0	0.000	1.226	18.082	-79.38	-297.86	0.00	-3.49
700	272.693	1816.392	366.034	4	0	0.000	1.424	18.295	-86.61	-285.56	4.24	0.00
800	243.228	1690.982	454.659	6	0	0.000	0.037	28.478	-81.63	-294.96	-0.00	0.00
900	199.368	1390.140	314.749	5	0	0.000	0.192	49.660	-84.30	-290.06	0.33	-0.06
1000	0.561	1488.664	413.164	7	0	0.000	0.196	49.839	-77.19	-293.08	0.00	-0.29
1100	0.361	1880.670	367.000	6	0	0.000	0.170	49.546	-74.39	-289.38	0.00	0.00
1200	43.232	2921.092	278.858	5	0	0.000	0.402	49.840	-78.81	-291.98	-0.00	0.00
1300	30.472	2946.615	507.757	4	0	0.000	1.012	49.546	-78.28	-287.63	-5.40	0.00
1400	3.065	1923.171	313.194	5	0	0.000	0.080	49.765	-81.00	-283.31	-0.00	0.00
1500	68.260	4338.185	98.472	4	0	0.000	0.361	43.494	-73.78	-286.78	-2.20	-0.69
1600	24.832	3044.486	205.578	4	0	0.000	0.728	43.306	-84.93	-278.58	-6.04	0.69
1700	39.643	4455.223	100.560	5	0	0.000	0.128	43.530	-71.33	-284.96	0.00	-1.85
1800	16.215	1933.344	172.214	4	0	0.000	0.156	43.530	-77.86	-283.29	0.00	0.00
1900	13.648	2156.108	310.471	2	0	0.000	0.097	28.255	-80.49	-279.20	-0.00	0.00
2000	8.387	2533.131	448.444	8	0	0.000	0.042	28.255	-72.22	-295.29	-0.00	0.00
2100	1.457	1208.522	243.594	8	0	0.000	0.042	21.893	-78.09	-291.16	-0.98	0.17
2200	0.537	2368.975	410.345	6	0	0.000	0.016	30.993	-66.62	-285.92	-3.30	0.00
