Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
1	Plastic	Intact	Brooksia rostrata	D4-BR-O-1	Oozoid	Low	30	1	NA	9/18/2021	1	0	P1	NA	NA	6.21	NA	208	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	6
2	Plastic	Intact	Brooksia rostrata	D4-BR-O-1	Oozoid	Low	30	1	NA	9/18/2021	1	15	P1	NA	NA	6.18	NA	208	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	7
3	Plastic	Intact	Brooksia rostrata	D4-BR-O-1	Oozoid	Low	30	1	NA	9/18/2021	1	30	P1	NA	NA	6.15	NA	208	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	8
4	Plastic	Intact	Brooksia rostrata	D4-BR-O-1	Oozoid	Low	30	1	NA	9/18/2021	1	45	P1	NA	NA	6.07	NA	208	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	9
5	Plastic	Intact	Brooksia rostrata	D4-BR-O-1	Oozoid	Low	30	1	NA	9/18/2021	1	60	P1	NA	NA	6.05	NA	208	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	10
6	Glass	Intact	Brooksia rostrata	D4-BR-O-2	Oozoid	High	35	1	NA	9/18/2021	1	0	G1	NA	NA	6.31	NA	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	NA
7	Glass	Intact	Brooksia rostrata	D4-BR-O-2	Oozoid	High	35	1	NA	9/18/2021	1	15	G1	NA	NA	6.21	NA	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	NA
8	Glass	Intact	Brooksia rostrata	D4-BR-O-2	Oozoid	High	35	1	NA	9/18/2021	1	30	G1	NA	NA	6.16	NA	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	NA
9	Glass	Intact	Brooksia rostrata	D4-BR-O-2	Oozoid	High	35	1	NA	9/18/2021	1	45	G1	NA	NA	6.08	NA	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	NA
10	Glass	Intact	Brooksia rostrata	D4-BR-O-2	Oozoid	High	35	1	NA	9/18/2021	1	60	G1	NA	NA	6.06	NA	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.	NA	NA
