Species Variable    Class   Value   Source
Cyclosalpa polae    Mean swimming speed cms number  1.2 Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Pegea confoederata  Mean swimming speed cms number  2   Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Cyclosalpa affinis  Mean swimming speed cms number  3.6 Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Salpa maxima    Mean swimming speed cms number  3.9 Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Iasis (Weelia) cylindrica   Mean swimming speed cms number  9   Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Cyclosalpa polae    Pulsation rate Hz   number  1.1 Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Pegea confoederata  Pulsation rate Hz   number  2   Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Cyclosalpa affinis  Pulsation rate Hz   number  2   Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Salpa maxima    Pulsation rate Hz   number  1.3 Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Iasis (Weelia) cylindrica   Pulsation rate Hz   number  2.7 Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Pegea confoederata  Chain architecture  category    Transversal Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Pegea bicaudata Chain architecture  category    Transversal Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Pegea socia Chain architecture  category    Transversal Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Cyclosalpa polae    Chain architecture  category    Cluster Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Cyclosalpa affinis  Chain architecture  category    Whorl   Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
Traustedtia multitentaculata    Chain architecture  category    Transversal Madin, L. P. (1990). Aspects of jet propulsion in salps. Canadian Journal of Zoology, 68(4), 765-777.
